genes_names,lfc_cluster2
HES4,0.26577908186269295
ERRFI1,0.2869197394574948
ENO1,0.13533705565509804
EFHD2,0.24386852711232115
MRTO4,0.27989834054509366
CDA,-0.8377938158332551
HNRNPR,0.22255368466371805
STMN1,0.26587735701932763
SH3BGRL3,-0.2960020672288253
SFN,-0.3621556775850277
YARS,0.32286179679248544
PRDX1,0.13955912143044616
TYW3,0.26022931047750486
HIST2H2AC,0.5455159194261893
ANP32E,0.33566609644649026
PSMD4,0.2203281311874805
S100A4,-0.15565160720574978
ADAR,-0.34218525487344603
ATP1B1,-0.2787811481734792
CACYBP,0.3018534443276218
PHLDA3,-0.40163784580289
ELF3,-0.2696842632363881
UBE2T,0.3021284767869103
CD46,-0.4916221545781074
EPHX1,-0.3812365934197275
EGLN1,-0.1919617277810149
RP11-295G20.2,-0.2988710765045563
DESI2,0.27992447822075556
ID2,0.35801878637439344
ODC1,0.21055041296799132
TP53I3,-0.6762099540364168
WDR43,0.2860147876320032
YPEL5,-0.4856163838421953
LBH,-0.8089091500167936
RPS27A,-0.048219549242676366
CCT4,0.22052896219847257
ANXA4,-0.3209628147771804
MTHFD2,0.5689002055111799
CIAO1,0.5457689908006479
DDX18,0.2152298719080549
SSB,0.22239254709896447
NRP2,-0.4068325985482062
FN1,-0.7752038936219481
NCL,0.2407526077419077
PTMA,0.20072098914538283
ARL4C,-0.5881616540163688
GPC1,-0.2956927521069384
CMTM7,0.2966259633814118
GPX1,-0.43398473293286
GNL3,0.39475276133635434
DCBLD2,-0.2022482375442533
H1FX,0.24380615120628507
ATP1B3,0.3004214907749313
RPL22L1,0.1163292892175787
LPP,-0.42110048009894524
SLBP,0.40583489125989564
MXD4,-0.8388800385898799
LYAR,0.38807893200101656
IGFBP7,-0.7713468365887929
AREG,0.28600255771853295
HNRNPDL,0.2339258432534818
SPP1,-0.4290442924429892
PDLIM5,-0.20816025205408023
EIF4E,0.2978940378343893
PPP3CA,-0.4828241022468528
TMA16,0.33111607177570684
HPGD,-0.33411031032255734
BRIX1,0.3187762893020624
FYB,0.44111725279549135
HMGCS1,-0.4371118185677055
CAST,-0.15605285146797382
CHD1,0.4172949337524315
SLC12A2,-0.34557042306513747
TGFBI,-0.5425312481969755
NPM1,0.199644478991757
CPLX2,-0.2271436257970934
TRIM7,0.5067845096253403
EDN1,-0.36594055632490663
SOX4,-0.5165023175898905
HIST1H4C,0.30226680671164274
ABCF1,0.2696570049817876
TUBB,0.17528876570009302
CLIC1,0.17551397045430453
SRSF3,0.25247156659005116
CDKN1A,-1.4064515416734253
DST,-0.3861426871920792
PTP4A1,0.1998376557532651
EEF1A1,-0.06017751099310554
TMEM30A,-0.35613041351895813
PNRC1,-0.396128583474137
CD24,-0.3914414974716067
TPD52L1,-0.46493273358049947
AKAP12,0.34409607177246165
ACTB,0.0930227972111088
CCT6A,0.19865908007152938
TP53TG1,-0.7362557893813306
DBF4,0.3857600985142383
NRCAM,-0.47704975919032366
IFRD1,0.3979599807008006
AKR1B10,-0.21879008972749633
SSBP1,0.23892852576259727
PRDX4,0.21616101645122618
SAT1,-0.5364428662337147
PCSK1N,-0.4067427756685489
RPS4X,-0.03518334073071047
MORC4,-0.29632565542010003
SLC25A5,0.10804642740480862
IDS,-0.3862231905126455
HMGB3,0.3413203837930705
SH2D4A,0.44183072073689356
PBK,0.34328335183391145
NRG1,-0.3117809568761982
EIF4EBP1,0.3414072262960932
VDAC3,0.2530840970985957
SMIM19,-0.3168770766090717
CEBPD,-0.3309599915850455
TRAM1,-0.6196042105213238
LACTB2,-0.4125430631972595
FABP5,0.2946380268373049
MRPL13,0.3451679372878628
ATAD2,0.5768856899462295
MINCR,-0.33796331438878513
BOP1,0.43029387039840045
KANK1,0.41517355088234253
ALDH1A1,-0.3071129451539251
PSAT1,0.39230432406200355
CTNNAL1,0.30757648858171804
TMEM245,-0.3904791593761544
PTBP3,-0.33801889402296525
PAPPA,-0.5370460134724794
PSMB7,0.21990482599374958
SET,0.1807389518321769
PTGES,0.5841340851997083
RPL7A,-0.04023041216737937
SNHG7,0.29501190931529114
PRKCDBP,-0.370722777202824
ADM,0.4070656589878793
CD44,-0.35710420896035333
PSMC3,0.35562280257906254
RTN4RL2,0.5095251073765198
FADS2,-0.2719658829528756
SLC3A2,0.269316679344898
DNAJC4,-0.3503774353021616
RP11-783K16.5,-0.4521436538286459
NEAT1,-0.6764939164294748
MYEOV,0.2560565793836029
CCND1,-0.19195001517722574
CTTN,-0.20018700537114678
UCP2,-0.21751800002406319
PRSS23,-0.23847115568908056
RDX,-0.2842520738321887
AKR1C2,-0.14088458276754492
AKR1C1,-0.5129719308681607
AKR1C3,-0.24250497485132816
HACD1,0.26164612989911634
PSAP,-0.3112047284537809
KCNMA1,0.300808697442693
RPP30,0.43946325062427555
SCD,-0.3155045155028524
SMC3,0.3180228311964949
TEAD4,0.4740810394844866
NDUFA9,0.39240945284518797
GAPDH,0.10059491410071829
GPRC5A,-0.4632767350084065
TM7SF3,-0.39102509502405325
AMIGO2,-0.40789361002990887
TUBA1B,0.1538621630890401
TUBA1A,-0.37146954651034053
TMBIM6,-0.18043112657695232
