native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,cluster
GO:1903047,mitotic cell cycle process,4.289880111328525e-58,745,91,58,21031,0.6373626373626373,0.07785234899328859,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'CENPA', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'SPDL1', 'HSPA1A', 'ANLN', 'DBF4', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'CKS2', 'SAPCD2', 'KIF18A', 'CKAP5', 'CDK1', 'KIF20B', 'KIF11', 'CEP55', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'CKAP2', 'MZT1', 'CDKN3', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'CDC27', 'BIRC5', 'TPX2', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0000278,mitotic cell cycle,1.0719083909249122e-56,895,91,60,21031,0.6593406593406593,0.0670391061452514,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'CENPA', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'SPDL1', 'HSPA1A', 'ANLN', 'DBF4', 'KIF4A', 'REEP4', 'CDCA2', 'PBK', 'RAD21', 'CKS2', 'SAPCD2', 'KIF18A', 'CKAP5', 'CDK1', 'KIF20B', 'KIF11', 'CEP55', 'BUB3', 'MKI67', 'NCAPD2', 'TUBA1C', 'RACGAP1', 'CKAP2', 'MZT1', 'CDKN3', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'CDC27', 'BIRC5', 'TPX2', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0051301,cell division,3.788928214946524e-56,656,91,55,21031,0.6043956043956044,0.08384146341463415,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'CENPA', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'PTTG1', 'SPDL1', 'ANLN', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'CKS2', 'SAPCD2', 'CKAP5', 'CDK1', 'KIF20B', 'KIF11', 'CEP55', 'BUB3', 'NCAPD2', 'CDCA3', 'TUBA1C', 'RACGAP1', 'CKAP2', 'MIS18BP1', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'FAM64A', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA', 'UBE2S']",8
GO:0007049,cell cycle,9.811639081099478e-53,1819,91,70,21031,0.7692307692307693,0.038482682792743264,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'CENPA', 'BUB1', 'SPC25', 'HJURP', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'PTP4A1', 'ANLN', 'DBF4', 'KIF4A', 'REEP4', 'CDCA2', 'PBK', 'RAD21', 'CKS2', 'SAPCD2', 'KIF18A', 'CKAP5', 'CDK1', 'KIF20B', 'KIF11', 'CEP55', 'BUB3', 'MKI67', 'NCAPD2', 'CDCA3', 'TUBA1C', 'RACGAP1', 'CKAP2', 'MZT1', 'MIS18BP1', 'CDKN3', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'KIF22', 'FAM64A', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'PRR11', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0022402,cell cycle process,5.0815968223759e-52,1276,91,63,21031,0.6923076923076923,0.0493730407523511,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'CENPA', 'BUB1', 'SPC25', 'HJURP', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'ANLN', 'DBF4', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'CKS2', 'SAPCD2', 'KIF18A', 'CKAP5', 'CDK1', 'KIF20B', 'KIF11', 'CEP55', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'CKAP2', 'MZT1', 'CDKN3', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0140014,mitotic nuclear division,1.2607639999651962e-51,279,91,42,21031,0.46153846153846156,0.15053763440860216,"['CDCA8', 'CDC20', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'ANLN', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'KIF18A', 'CDK1', 'KIF20B', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'BIRC5', 'TPX2', 'UBE2C', 'AURKA', 'UBE2S']",8
GO:0098813,nuclear chromosome segregation,6.481045213746518e-51,318,91,43,21031,0.4725274725274725,0.13522012578616352,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'KIF4A', 'RAD21', 'KIF18A', 'CDK1', 'KIF11', 'BUB3', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA']",8
GO:0007059,chromosome segregation,2.0830171294273902e-50,425,91,46,21031,0.5054945054945055,0.10823529411764705,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'HJURP', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'KIF4A', 'CDCA2', 'RAD21', 'KIF18A', 'CDK1', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA']",8
GO:0000280,nuclear division,2.304080804556153e-49,447,91,46,21031,0.5054945054945055,0.1029082774049217,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'CENPE', 'MAD2L1', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'ANLN', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'CKS2', 'KIF18A', 'CDK1', 'KIF20B', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'BIRC5', 'TPX2', 'UBE2C', 'AURKA', 'UBE2S']",8
GO:0000819,sister chromatid segregation,1.0900177134920136e-47,230,91,38,21031,0.4175824175824176,0.16521739130434782,"['CDCA8', 'CDC20', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'KIF4A', 'RAD21', 'KIF18A', 'CDK1', 'KIF11', 'BUB3', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'UBE2C']",8
GO:0048285,organelle fission,2.882905427318781e-47,495,91,46,21031,0.5054945054945055,0.09292929292929293,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'CENPE', 'MAD2L1', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'ANLN', 'KIF4A', 'REEP4', 'CDCA2', 'RAD21', 'CKS2', 'KIF18A', 'CDK1', 'KIF20B', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'BIRC5', 'TPX2', 'UBE2C', 'AURKA', 'UBE2S']",8
GO:0000070,mitotic sister chromatid segregation,2.493368606241557e-45,189,91,35,21031,0.38461538461538464,0.18518518518518517,"['CDCA8', 'CDC20', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'KIF4A', 'RAD21', 'KIF18A', 'CDK1', 'KIF11', 'BUB3', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'BIRC5', 'TPX2', 'UBE2C']",8
GO:0051276,chromosome organization,3.746074273229421e-39,635,91,44,21031,0.4835164835164835,0.06929133858267716,"['CDCA8', 'CDC20', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'CENPA', 'BUB1', 'SPC25', 'HJURP', 'SMC4', 'TACC3', 'CENPE', 'MAD2L1', 'HMGB2', 'CCNB1', 'PTTG1', 'SPDL1', 'HSPA1A', 'KIF4A', 'HMGB3', 'RAD21', 'KIF18A', 'CDK1', 'KIF11', 'BUB3', 'NCAPD2', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'PIF1', 'KIF23', 'PRC1', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'TOP2A', 'CDC27', 'BIRC5', 'TPX2', 'UBE2C']",8
GO:0010564,regulation of cell cycle process,4.1680806136406363e-38,724,91,45,21031,0.4945054945054945,0.062154696132596686,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'ANLN', 'DBF4', 'CDCA2', 'RAD21', 'CDK1', 'KIF20B', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'AURKB', 'SPAG5', 'CDC27', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA', 'GTSE1']",8
GO:0051726,regulation of cell cycle,3.2557970256804277e-35,1105,91,49,21031,0.5384615384615384,0.044343891402714934,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPF', 'RRM2', 'BUB1', 'SPC25', 'SMC4', 'ECT2', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'ANLN', 'DBF4', 'CDCA2', 'RAD21', 'CKS2', 'CDK1', 'KIF20B', 'KIF11', 'BUB3', 'MKI67', 'NCAPD2', 'RACGAP1', 'CDKN3', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'AURKB', 'SPAG5', 'CDC27', 'PRR11', 'BIRC5', 'TPX2', 'FAM83D', 'UBE2C', 'AURKA', 'GTSE1']",8
GO:1902850,microtubule cytoskeleton organization involved in mitosis,6.173759114735015e-34,168,91,28,21031,0.3076923076923077,0.16666666666666666,"['CDCA8', 'CDC20', 'NUF2', 'NEK2', 'CENPA', 'SPC25', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'KIF4A', 'SAPCD2', 'CKAP5', 'CDK1', 'KIF11', 'RACGAP1', 'MZT1', 'DLGAP5', 'NUSAP1', 'KIF23', 'PRC1', 'PLK1', 'AURKB', 'BIRC5', 'TPX2', 'AURKA']",8
GO:0051983,regulation of chromosome segregation,8.565775975910756e-30,129,91,24,21031,0.26373626373626374,0.18604651162790697,"['CDCA8', 'CDC20', 'NUF2', 'CENPF', 'BUB1', 'SPC25', 'SMC4', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'CDCA2', 'RAD21', 'CDK1', 'BUB3', 'MKI67', 'NCAPD2', 'DLGAP5', 'PLK1', 'AURKB', 'CDC27', 'BIRC5', 'UBE2C']",8
GO:0044772,mitotic cell cycle phase transition,9.341241667401122e-28,432,91,32,21031,0.3516483516483517,0.07407407407407407,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'KIF14', 'CENPF', 'RRM2', 'BUB1', 'SPC25', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'SPDL1', 'ANLN', 'DBF4', 'RAD21', 'CKS2', 'CDK1', 'BUB3', 'CDKN3', 'DLGAP5', 'CCNF', 'PLK1', 'AURKB', 'CDC27', 'BIRC5', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0007017,microtubule-based process,1.264782555330099e-27,953,91,41,21031,0.45054945054945056,0.04302203567681007,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'KIF14', 'NEK2', 'CENPA', 'SPC25', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'KIF4A', 'SAPCD2', 'KIF18A', 'CKAP5', 'KIF5B', 'CDK1', 'KIF20B', 'KIF11', 'TUBA1C', 'RACGAP1', 'DYNLL1', 'CKAP2', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'KIF22', 'AURKB', 'SPAG5', 'BIRC5', 'TPX2', 'AURKA', 'GTSE1']",8
GO:0007088,regulation of mitotic nuclear division,4.659853795580597e-27,118,91,22,21031,0.24175824175824176,0.1864406779661017,"['CDCA8', 'CDC20', 'NUF2', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'MAD2L1', 'CCNB1', 'SPDL1', 'CDCA2', 'RAD21', 'KIF20B', 'BUB3', 'MKI67', 'DLGAP5', 'NUSAP1', 'PLK1', 'AURKB', 'BIRC5', 'UBE2C', 'AURKA']",8
GO:0007051,spindle organization,2.5694830460414314e-26,205,91,25,21031,0.27472527472527475,0.12195121951219512,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'NEK2', 'SPC25', 'TACC3', 'CENPE', 'CCNB1', 'HSPA1A', 'KIF4A', 'CKAP5', 'KIF11', 'RACGAP1', 'MZT1', 'DLGAP5', 'KNSTRN', 'KIF23', 'PRC1', 'PLK1', 'AURKB', 'SPAG5', 'BIRC5', 'TPX2', 'AURKA']",8
GO:0044770,cell cycle phase transition,4.1064566181549246e-26,537,91,33,21031,0.3626373626373626,0.061452513966480445,"['CDCA8', 'CDC20', 'CDKN2C', 'NUF2', 'KIF14', 'CENPF', 'RRM2', 'BUB1', 'SPC25', 'TACC3', 'CENPE', 'MAD2L1', 'CCNA2', 'CCNB1', 'SPDL1', 'ANLN', 'DBF4', 'RAD21', 'CKS2', 'CDK1', 'BUB3', 'CDKN3', 'DLGAP5', 'CCNF', 'PLK1', 'AURKB', 'CDC27', 'BIRC5', 'FAM83D', 'UBE2C', 'AURKA', 'UBE2S', 'GTSE1']",8
GO:0007052,mitotic spindle organization,7.936799851731327e-26,133,91,22,21031,0.24175824175824176,0.16541353383458646,"['CDCA8', 'CDC20', 'NUF2', 'NEK2', 'SPC25', 'TACC3', 'CENPE', 'CCNB1', 'HSPA1A', 'KIF4A', 'CKAP5', 'KIF11', 'RACGAP1', 'MZT1', 'DLGAP5', 'KIF23', 'PRC1', 'PLK1', 'AURKB', 'BIRC5', 'TPX2', 'AURKA']",8
GO:0000226,microtubule cytoskeleton organization,7.982498698167489e-26,659,91,35,21031,0.38461538461538464,0.05311077389984825,"['CDCA8', 'CDC20', 'NUF2', 'ASPM', 'NEK2', 'CENPA', 'SPC25', 'TACC3', 'CENPE', 'MAD2L1', 'CCNB1', 'SPDL1', 'HSPA1A', 'KIF4A', 'SAPCD2', 'KIF18A', 'CKAP5', 'CDK1', 'KIF11', 'TUBA1C', 'RACGAP1', 'CKAP2', 'MZT1', 'DLGAP5', 'KNSTRN', 'NUSAP1', 'KIF23', 'PRC1', 'CCNF', 'PLK1', 'AURKB', 'SPAG5', 'BIRC5', 'TPX2', 'AURKA']",8
GO:0051783,regulation of nuclear division,8.257604960449882e-25,147,91,22,21031,0.24175824175824176,0.14965986394557823,"['CDCA8', 'CDC20', 'NUF2', 'NEK2', 'CENPF', 'BUB1', 'SPC25', 'MAD2L1', 'CCNB1', 'SPDL1', 'CDCA2', 'RAD21', 'KIF20B', 'BUB3', 'MKI67', 'DLGAP5', 'NUSAP1', 'PLK1', 'AURKB', 'BIRC5', 'UBE2C', 'AURKA']",8
