genes_names,lfc_cluster3
ID3,0.1059666412673466
STMN1,0.20341321776329938
SH3BGRL3,-0.22440722226886933
SFN,-0.38006428504260165
ANP32E,0.28785575202580727
S100A4,-0.12284035046571823
ADAR,-0.3020863204150882
ATP1B1,-0.2900327228069717
CACYBP,0.23188697046701198
PHLDA3,-0.21403405138421505
ELF3,-0.21354556319952453
UBE2T,0.2386835622101064
EPHX1,-0.3601481125740476
RP11-295G20.2,-0.2873878576260815
TP53I3,-0.4908135040744325
RPS27A,-0.036775138051585436
ANXA4,-0.2802515110203048
MTHFD2,0.4724254696403908
CIAO1,0.5028164000237727
NRP2,-0.39080326863650755
NCL,0.19484094802771687
PTMA,0.169730384724062
ARL4C,-0.5076503330203751
GPX1,-0.2768832040341067
GNL3,0.33938381079220015
H1FX,0.21587864100373227
ATP1B3,0.2692218827899801
LPP,-0.3985758565198718
IGFBP7,-0.7057235857958022
HNRNPDL,0.19790816279032988
SPP1,-0.4248043562065822
PPP3CA,-0.44685498287190106
HPGD,-0.3686279268395766
SLC12A2,-0.3938656964902406
TGFBI,-0.5047945146793802
NPM1,0.14067309659754812
CPLX2,-0.28057830272694545
TRIM7,0.4408289317484927
EDN1,-0.38002650714108355
SOX4,-0.4697720155818502
TUBB,0.13574790321552307
SRSF3,0.2275558194490003
CDKN1A,-0.9969454976448483
DST,-0.3545358678105537
PTP4A1,0.20359345320476543
CD24,-0.3605654084556023
TPD52L1,-0.4341955002489982
AKAP12,0.2917363185600259
TP53TG1,-0.6479015082272824
NAMPT,-0.2243391697879946
AKR1B1,-0.1199827645232219
AKR1B10,-0.2603260595894859
SSBP1,0.17123818780543884
SAT1,-0.4183265968419426
PCSK1N,-0.3283147739570848
IDS,-0.362246804070163
HMGB3,0.28067806266609013
SH2D4A,0.3746279700877242
NRG1,-0.26763902250541577
EIF4EBP1,0.2911993512646406
VDAC3,0.22588292466423576
TRAM1,-0.5458694495058577
FABP5,0.23893678687454667
MRPL13,0.2635314045788373
ATAD2,0.5144521344019546
MINCR,-0.30542675383525725
BOP1,0.34155990680146997
ALDH1A1,-0.24004151123374282
PSAT1,0.32605197857866014
CTNNAL1,0.2857673790320144
PAPPA,-0.22341304066391915
PSMB7,0.19205209764206735
SET,0.13841524566559713
PTGES,0.5226399781182047
SNHG7,0.24322192405905976
ADM,0.3505777409552278
CD44,-0.29238093507907537
PSMC3,0.31476947941947225
FADS2,-0.22377923656704313
NEAT1,-0.5273972972108439
MYEOV,0.25169423633262045
CCND1,-0.17766287435975725
PRSS23,-0.20710508234538455
RDX,-0.23705109009308867
AKR1C2,-0.152095053714267
AKR1C1,-0.5255541907571075
AKR1C3,-0.2655260308805984
PSAP,-0.24902748624738205
RPP30,0.42303097391842953
SCD,-0.22419970108690737
GAPDH,0.08659489709899229
GPRC5A,-0.35938029582608666
TM7SF3,-0.3498352903081904
AMIGO2,-0.3594921936745587
TMBIM6,-0.14593957676116975
KRT7,-0.11072634171702829
KRT8,-0.20285770053761834
KRT18,-0.13798371403151202
IGFBP6,0.12313955208852387
SYT1,-0.3527465783737504
VEZT,-0.33132470665859143
C12orf75,-0.25061418075883646
TESC,0.20840497125880747
UBC,-0.16497230586119566
RAN,0.14246875368753342
GPX2,-0.40014791000288386
ZFP36L1,-0.30239193711034934
NPC2,-0.3648067661593798
TNFAIP2,-0.4961904516943666
EIF5,0.1920568196702936
AHNAK2,-0.4648397421293471
CRIP2,-0.46227837132061467
CHP1,-0.3169412293001805
TPM1,-0.056751524276095235
RPS27L,-0.18700981229503622
CA12,-0.4079701987807932
MFGE8,-0.5955980046986855
ALDOA,0.1797451966631816
MT2A,-0.3337489686596502
MT1X,-0.4833557271621708
GINS2,0.3408124070719597
PSMB6,0.21011881322662426
PFN1,0.08730510182635937
CTC-524C5.2,0.3672698857173564
EIF5A,0.15389493785930058
ALDH3A1,-0.35047493745389396
PSMB3,0.23570286029317372
IGFBP4,0.089692525924193
EIF1,0.17927009107916916
BRCA1,0.4437255302494962
GRN,-0.43174189449009476
MRPL10,0.31889607622935456
UTP18,0.4086646592774528
FDXR,-0.544814643831335
ACTG1,0.09213332710381376
RAC3,0.32398686839327484
GALNT1,-0.40414104151573543
TRIB3,0.34098063742234236
SMOX,0.28885074740128924
ID1,0.2943138359966024
E2F1,0.38685955894218776
MMP24-AS1,-0.20134253895668258
TGM2,-0.43527244278991195
CYP24A1,-0.17396829160104826
PMEPA1,-0.7827027720536507
CD70,0.2704533409770986
AP1M2,0.19341356936421075
GDF15,0.16477947435086446
CD3EAP,0.3334044812088004
PRMT1,0.255980748819305
C19orf48,0.24304733958976812
ETFB,-0.16585713412502703
RPL28,-0.05275878836884425
ATF4,0.29282888482335667
PDXK,-0.2660166099006921
MT-ND1,-0.07308635771219879
TP53,-0.08147782976016742
