native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,cluster
GO:1901564,organonitrogen compound metabolic process,1.0039228187722099e-10,5986,105,67,21031,0.638095238095238,0.01119278316070832,"['ABCC2', 'ACTB', 'ALDH1A1', 'ALDOA', 'ANXA1', 'ANXA2', 'AREG', 'BRCA1', 'CCND1', 'CCT4', 'CCT6A', 'CCT7', 'CCT8', 'CD24', 'CD44', 'CDKN1A', 'CTSB', 'CTSL', 'DERA', 'DNAJB1', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'ENO1', 'GAPDH', 'GNL3', 'GRPEL1', 'HSPA8', 'HSPA9', 'HSPD1', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'MYH9', 'NCL', 'NOLC1', 'NPM1', 'PGK1', 'PLK2', 'PPP1CB', 'PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'PSME2', 'RAN', 'RDX', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SLC7A11', 'SSB', 'TALDO1', 'TCOF1']",0
GO:0019538,protein metabolic process,1.9038783324439892e-10,4912,105,60,21031,0.5714285714285714,0.012214983713355049,"['ACTB', 'ANXA1', 'ANXA2', 'AREG', 'BRCA1', 'CCND1', 'CCT4', 'CCT6A', 'CCT7', 'CCT8', 'CD24', 'CD44', 'CDKN1A', 'CTSB', 'CTSL', 'DNAJB1', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'ENO1', 'GAPDH', 'GNL3', 'GRPEL1', 'HSPA8', 'HSPA9', 'HSPD1', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'MYH9', 'NCL', 'NOLC1', 'NPM1', 'PGK1', 'PLK2', 'PPP1CB', 'PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'PSME2', 'RDX', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SSB', 'TCOF1']",0
KEGG:03050,Proteasome,5.042241898092745e-10,46,76,10,8484,0.13157894736842105,0.21739130434782608,"['PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'PSME2']",0
GO:0043043,peptide biosynthetic process,5.184692895297476e-10,752,105,24,21031,0.22857142857142856,0.031914893617021274,"['EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SLC7A11', 'SSB', 'TCOF1']",0
GO:0006412,translation,1.8905246506501594e-09,723,105,23,21031,0.21904761904761905,0.0318118948824343,"['EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SSB', 'TCOF1']",0
GO:0006518,peptide metabolic process,4.274097744666098e-09,911,105,25,21031,0.23809523809523808,0.027442371020856202,"['CTSL', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SLC7A11', 'SSB', 'TCOF1']",0
GO:0006417,regulation of translation,1.1579688500977218e-08,378,105,17,21031,0.1619047619047619,0.04497354497354497,"['EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPS27L', 'SSB', 'TCOF1']",0
GO:0034248,regulation of amide metabolic process,1.2128219780587227e-08,439,105,18,21031,0.17142857142857143,0.04100227790432802,"['EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPS27L', 'SLC7A11', 'SSB', 'TCOF1']",0
GO:0043604,amide biosynthetic process,1.7219888570803845e-08,887,105,24,21031,0.22857142857142856,0.02705749718151071,"['EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SLC7A11', 'SSB', 'TCOF1']",0
KEGG:05014,Amyotrophic lateral sclerosis,2.2437192778431503e-08,363,76,19,8484,0.25,0.05234159779614325,"['ACTB', 'ACTG1', 'KIF5B', 'PFN1', 'PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'SRSF3', 'TUBA1B', 'TUBA1C', 'TUBB', 'TUBB4B', 'TUBB6']",0
KEGG:05012,Parkinson disease,9.348290650429576e-08,265,76,16,8484,0.21052631578947367,0.06037735849056604,"['KIF5B', 'PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'RPS27A', 'TUBA1B', 'TUBA1C', 'TUBB', 'TUBB4B', 'TUBB6']",0
GO:0051246,regulation of protein metabolic process,1.1744498019791913e-07,2102,105,35,21031,0.3333333333333333,0.01665080875356803,"['ACTB', 'ANXA2', 'AREG', 'BRCA1', 'CCND1', 'CD24', 'CD44', 'CDKN1A', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'ENO1', 'GAPDH', 'GNL3', 'HSPD1', 'MIF4GD', 'MRPL13', 'MTIF2', 'MYH9', 'NCL', 'NOLC1', 'NPM1', 'PLK2', 'PSMC3', 'PSMC4', 'PSME2', 'RDX', 'RPS27L', 'SSB', 'TCOF1']",0
KEGG:05020,Prion disease,1.2972327111240043e-07,271,76,16,8484,0.21052631578947367,0.05904059040590406,"['HSPA8', 'KIF5B', 'PSMB1', 'PSMB3', 'PSMB6', 'PSMB7', 'PSMC3', 'PSMC4', 'PSMD4', 'PSMD7', 'PSMD8', 'TUBA1B', 'TUBA1C', 'TUBB', 'TUBB4B', 'TUBB6']",0
GO:0080090,regulation of primary metabolic process,9.318554002159783e-07,5591,105,58,21031,0.5523809523809524,0.010373815059917725,"['ACTB', 'ANXA1', 'ANXA2', 'AREG', 'BRCA1', 'CCND1', 'CCT4', 'CCT6A', 'CCT7', 'CCT8', 'CD24', 'CD44', 'CDKN1A', 'DDX54', 'DNAJB1', 'E2F1', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'ENO1', 'EWSR1', 'GABPB1', 'GAPDH', 'GNL3', 'HMGB2', 'HSPA8', 'HSPD1', 'ILF2', 'KPNA2', 'MDK', 'MIF4GD', 'MRPL13', 'MTIF2', 'MYH9', 'NCL', 'NOLC1', 'NPM1', 'PFN1', 'PLK2', 'PSMC3', 'PSMC4', 'PSME2', 'RDX', 'RPS27L', 'SFPQ', 'SLC7A11', 'SPP1', 'SRSF3', 'SSB', 'TCOF1', 'TIAL1', 'UBTF', 'WDR43']",0
GO:0051171,regulation of nitrogen compound metabolic process,1.042200819537707e-06,5440,105,57,21031,0.5428571428571428,0.010477941176470587,"['ACTB', 'ANXA2', 'AREG', 'BRCA1', 'CCND1', 'CCT4', 'CCT6A', 'CCT7', 'CCT8', 'CD24', 'CD44', 'CDKN1A', 'DDX54', 'DNAJB1', 'E2F1', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'ENO1', 'EWSR1', 'GABPB1', 'GAPDH', 'GNL3', 'HMGB2', 'HSPA8', 'HSPD1', 'ILF2', 'KPNA2', 'MDK', 'MIF4GD', 'MRPL13', 'MTIF2', 'MYH9', 'NCL', 'NOLC1', 'NPM1', 'PFN1', 'PLK2', 'PSMC3', 'PSMC4', 'PSME2', 'RDX', 'RPS27L', 'SFPQ', 'SLC7A11', 'SPP1', 'SRSF3', 'SSB', 'TCOF1', 'TIAL1', 'UBTF', 'WDR43']",0
KEGG:04814,Motor proteins,1.1254569405525485e-06,193,76,13,8484,0.17105263157894737,0.06735751295336788,"['ACTB', 'ACTG1', 'KIF5B', 'MYH9', 'MYL12A', 'MYL12B', 'TPM2', 'TPM4', 'TUBA1B', 'TUBA1C', 'TUBB', 'TUBB4B', 'TUBB6']",0
GO:0043603,amide metabolic process,1.3569639364944535e-06,1194,105,25,21031,0.23809523809523808,0.020938023450586266,"['CTSL', 'EEF1A1', 'EIF1', 'EIF3E', 'EIF4E', 'EIF4EBP1', 'EIF4G2', 'EIF5', 'EIF5A', 'GAPDH', 'MIF4GD', 'MRPL10', 'MRPL13', 'MTIF2', 'NCL', 'NOLC1', 'NPM1', 'RPL22L1', 'RPL28', 'RPS27A', 'RPS27L', 'SLBP', 'SLC7A11', 'SSB', 'TCOF1']",0
