# Observed cut height: 0.0030771804
# Observed size of largest cluster at observed cut height: 267
# Expected size of largest cluster at observed cut height: 70.3
# Observed maximum ratio statistic: 3.798
# Expected maximum ratio statistic: 1.989
# p-value: 0.0
# Clusters:
AAAS	ABI2	ABL2	ACAA2	ACACA	ACADVL	ACAT1	ACSL3	ACTN1	ACYP1	AFG3L2	AGTRAP	AHNAK	AHNAK2	AJUBA	AKAP9	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH1B1	ANXA1	APTX	ARCN1	AREG	ARHGAP5	ARL8B	ARPC1B	ATF7	ATPAF1	BATF3	BBC3	BCAR1	BCL3	BLVRA	BLVRB	CAMLG	CAPN1	CBR3	CCL2	CD24	CD44	CD47	CEBPB	CEBPD	CHAC2	CHML	CHURC1	COPZ2	COQ5	COQ9	CRYZ	CTSB	CTSL	CXCL1	CXCL3	CXCL5	CYB5B	CYB5R3	CYBA	CYP1B1	CYP2S1	DDIT3	DDX39A	DGKE	DHCR24	DHRS3	DHRS4	DIAPH1	DNM1L	DOCK5	ECH1	ECHDC1	ECI2	ECSIT	EHBP1	EHD1	EHD2	EPHX1	EREG	ERO1A	ETFB	EVL	EZR	FAT1	FBXO7	FDFT1	FDPS	FDXR	FERMT1	FJX1	FNIP1	FNTA	FOSL1	FOSL2	FRMD6	FXN	GFER	GGPS1	GLRX	GLUD1	GNAI2	GNAI3	GNB5	GNG11	GNG12	GORASP2	GPX2	GPX8	GSR	GSTO1	HADHA	HADHB	HCCS	HMGCS1	HMOX1	HMOX2	IDH1	ILK	ILKAP	ITFG2	JUNB	JUND	KEAP1	KIAA0930	KIF5B	KRAS	LAYN	LMAN1	LONP1	LYRM1	MAP2K3	MAP3K11	MET	MGLL	MGST1	MGST2	MLPH	MMP24	MVD	MYH9	MYOF	NCBP3	NCKAP1	NDUFA5	NDUFA9	NDUFAF4	NEIL2	NF2	NFE2L1	NFKBIA	NFKBIB	NKIRAS2	NPRL3	NUP155	NUP37	NUP62	NUS1	OCIAD1	OPN3	PAK2	PAK4	PALLD	PARD3	PDLIM5	PDLIM7	PEF1	PGAM5	PHF3	PKN1	PLAU	PLAUR	PNKP	PODXL	POR	PRKAG2	PROCR	PTGES	PTP4A1	PXN	QDPR	RAB10	RAB11B	RAB11FIP2	RAB14	RAB1B	RAB22A	RAB27B	RAB31	RAC3	RAE1	RALA	RALB	RDH10	RDH11	REL	RELB	RGS19	RHOB	RHOD	RHOV	RHPN2	RIC8A	RND3	ROCK2	RRAGA	S100A4	S100A6	S1PR3	SAR1A	SAR1B	SAV1	SCARB1	SCP2	SDC1	SEC13	SEPHS1	SERPINE2	SFN	SLC10A3	SNX2	SNX6	SOD2	SPG7	SULT2B1	SYNM	TAOK1	TAOK3	TBC1D20	TES	TFG	TFPI	THBD	THOC2	THOC3	THOC6	TIMMDC1	TMED1	TMED10	TMED4	TMED7	TMEM70	TNFAIP1	TNNT1	TPM1	TPM2	TPR	TRIB3	TRIM44	TRIM59	TRIP6	TWF1	TXNDC12	TXNDC9	TXNRD2	UBE2D4	UBL4A	VASP	VCL	VPS26A	VPS35	WASF2	WTIP	YBEY	YME1L1	ZYX
ACIN1	CPSF6	CUX1	DDX17	ETV4	EWSR1	FLII	HNRNPH1	LRRFIP2	LUC7L	MBNL1	NKTR	RBBP6	SON	SREK1	SRPK1	SRPK2	SRSF11	SRSF4	SRSF6	SRSF8	TIAL1	TRA2A	WDR33	ZBTB38
CPLX2	GCC2	GOSR2	PLIN3	RAB9A	RHOBTB3	SEC22C	SLC40A1	SNAP47	STX2	SYT1	TFRC	VAMP3	VAMP8	YKT6
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
CCNC	HEXIM1	HEXIM2	LARP7	LRPPRC	MEPCE	METTL16	SURF1	UBN1	WTAP	YTHDC1	YTHDF1	YTHDF2	ZC3H13
ATG12	ATG5	CFLAR	EIF2AK2	FADD	IPO5	IRF3	KPNA3	MAP1B	OAS1	RNF135
BASP1	CALM2	CKB	DAP	DAPK1	FKBP1B	GAMT	MARCKS	MARCKSL1	MYO10
BROX	CHMP1A	CHMP1B	CHMP5	HGS	RNF11	STAMBP	USP8	VPS28	VPS4A
CHTF8	CSAG1	NCAPD2	NSMCE1	PDS5A	SLF1	SLF2	SMC2	SMC5
DDOST	DERL1	HM13	KRTCAP2	SSR1	STT3B	TRAM1	TUSC3	UBE2J1
ALG3	ALG8	DPM1	DPM3	MPDU1	MTFMT	MTHFD1	MTHFD2L
COMMD1	COMMD10	COMMD2	COMMD3	COMMD5	CREB3	KLHDC2	PRAME
ACOT7	HACD1	HACD2	HSD17B12	SCD	TECR	THEM4
AGPAT1	AGPAT5	CDIPT	CDS2	GPAT4	PIGH	PIGP
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
DAP3	MRPL47	MRPL50	MRPS18B	MRPS27	MTERF4	MTIF3
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
COL4A2	COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
GPC1	PHLDB2	PPFIA1	PPFIBP1	PTPRF	PTPRS
BAG2	GRPEL1	HSPH1	SLC25A13	TIMM23
C1D	EXOSC7	MPHOSPH6	PNPT1	ZCCHC8
CCK	GAL	GIP	NLN	NTS
COPS6	COPS7A	COPS7B	COPS8	GPS1
IVNS1ABP	PRPS1	PRPS2	PRPSAP1	RPIA
ADA	ADK	AK3	PDE8A
ADIPOR2	APPL1	NAMPT	NNMT
ARF4	ARF5	ARFIP2	SCOC
ASPSCR1	PRCC	UBXN2A	UBXN4
B9D1	B9D2	TMEM107	TMEM237
GALNT1	GALNT2	HEXA	ST3GAL5
GRAMD1B	NPC1	NPC2	STARD3NL
HIP1	IFT27	IFT57	IFT81
HOXB6	HOXB9	MEIS2	PBX1
LMNA	LMNB2	SUN1	SYNE1
ODC1	PMF1	SAT1	SMOX
PPP1CB	PPP1R11	PPP1R12A	PPP1R7
ABCC1	ABCC2	ABCG2
ABT1	DDX10	RRP36
ADM	ECE2	EDN1
AP1G1	AP1M2	AP1S2
ARID4B	SAP30BP	SAP30L
ASAH1	CERS2	ELOVL1
ATP6AP1	ATP6V1D	TMEM199
CES2	ESD	HAGH
CHD3	GATAD2A	PHF20L1
CIAO1	CIAPIN1	NUBP1
CTBP1	CTBP2	PSAT1
CTDSP1	MBP	REST
DPYSL2	DPYSL3	FES
EIF2AK4	EIF2B1	EIF2B4
EIF4G2	MKNK1	MKNK2
ELAC2	ENDOG	EXOG
ELOVL5	FADS2	PTDSS1
FA2H	PANK2	PPCS
FGFR1OP2	MOB4	STRN3
FLAD1	PAPSS2	SLC26A2
FST	FSTL3	INHBB
HAUS1	HAUS2	HAUS6
HERC2	RNF8	UBE2E2
HES6	MSC	TLE1
HMGA1	HMGA2	LPP
IGBP1	MID1	TIPRL
IGFBP4	PAPPA	STC2
IGFBP6	PHLDA2	SLC22A18AS
KRT18	KRT19	KRT8
MAP3K8	TNIP1	TNIP2
MBD4	TDG	UNG
PFKFB3	PFKP	TIGAR
POLR3D	POLR3G	POLR3GL
PPP4R2	PPP4R3A	PPP4R3B
TAF1D	TCOF1	UBTF
TGM2	TOR1A	TOR1AIP2
TRMT6	TRMT61A	WDR4
TSPAN14	TSPAN15	TSPAN17
AGFG1	FCHO1
AGR2	DAG1
AIMP2	FUBP1
ALDH3A1	ALDH3B1
ASH1L	USP34
ATF5	CDC34
ATL3	RTN3
BAZ1A	RSF1
BAZ2A	TTF1
BBIP1	PCM1
BCAT1	BCAT2
BRD2	BRD3
CA12	CA8
CCDC47	NCLN
CCND3	CDKN2C
CD55	CD59
CHCHD6	MTX1
CNOT1	CNOT4
CNPY3	UNC93B1
CRELD2	MANF
CTPS1	NUDT2
DCDC2	TDP2
DCTD	TYMP
DIO2	SECISBP2
DMWD	USP12
DNAJC4	VEGFB
DR1	TBPL1
DYNC1I2	DYNC1LI2
E2F6	MAX
EFNA5	EPHA2
ESRRA	SLC7A1
FRA10AC1	ZNF32
FSCN1	RAB35
GABRA5	GABRB3
GOLGA3	GOPC
GPN1	PFDN6
GTF2H1	MED29
HECW1	NDFIP1
HIPK2	SIAH2
HPRT1	IMPDH1
HYAL2	SPAG9
ITGA3	LAMC2
KCTD15	TMEM18
LCMT1	PPME1
LGR4	RSPO3
MAP4	MARK3
MIF4GD	SLBP
MPZL1	PMP22
MSI2	ZC3H14
MZT1	TUBGCP2
NELFB	ZC3H8
NEMF	TCF25
NFYB	REPIN1
NRP2	SEMA3C
PDE6D	UNC119
PEA15	RPS6KA3
PHAX	SNUPN
RAB5B	RIN2
RPUSD1	RPUSD3
RRBP1	SYNJ2BP
SDHAF1	SDHAF3
SEC63	STRADB
SETD7	SMYD2
SMARCB1	SMARCC1
STMN1	UHMK1
THAP11	THAP4
TLK1	TLK2
TPD52L1	TPD52L2
ZFP36L1	ZFP36L2
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ACAT2
ACBD3
ACD
ACER3
ACO2
ACTB
ACTG1
ACTL6A
ACTN4
ACTR1A
ACTR1B
ACTR3
ADAM10
ADAM17
ADAM9
ADAR
ADH5
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFMID
AGO2
AGRN
AHI1
AIFM1
AIFM2
AIMP1
AIP
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH2
ALDOA
ALG5
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA5
ANXA7
AP2A2
APLP2
APOBEC3C
APOC1
APOE
APOO
APP
AR
ARHGAP11A
ARHGAP35
ARID1A
ARL1
ARL6IP1
ARNTL2
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATIC
ATMIN
ATP6AP2
ATP6V0D1
ATP6V1C1
ATP6V1E1
ATP6V1E2
ATRX
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
B4GALNT1
BABAM1
BAG3
BAIAP2L1
BANP
BAX
BCAM
BCCIP
BCL2L1
BCLAF1
BCS1L
BDNF
BDP1
BECN1
BET1
BHLHE40
BIN1
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOLA1
BOP1
BRCA1
BRIX1
BTBD6
BUB3
C11orf1
C11orf74
C12orf65
C16orf74
C19orf12
C1orf131
C6orf62
C9orf116
C9orf78
CACNG6
CACNG8
CACYBP
CALR
CALU
CAND1
CANT1
CAPRIN1
CAPZA1
CASC3
CASK
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC88A
CCDC92
CCNA2
CCNB1
CCNB2
CCND1
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD2BP2
CD3EAP
CD81
CD9
CDA
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP3
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
CDT1
CDYL
CEBPZ
CELF1
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP290
CEP55
CES1
CETN2
CFAP20
CFDP1
CHAF1A
CHAMP1
CHD1
CHD4
CHEK1
CHMP2B
CHORDC1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLCF1
CLDN1
CLINT1
CLIP1
CLSPN
CLU
CMPK1
CNOT2
CNP
CNTN1
COIL
COL18A1
COL7A1
COMMD9
COPS5
COX16
CPS1
CREB1
CRTC3
CS
CSE1L
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTCF
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTSA
CTSC
CTSD
CTTN
CTU1
CUL3
CWC15
CWC25
CWC27
CXCL2
CXCL8
CYP24A1
DAAM1
DAB2
DAXX
DBF4
DCAF13
DCAF7
DCTN1
DCTN2
DCTN6
DDB1
DDB2
DDIT4
DDX18
DDX23
DDX24
DDX27
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL2
DESI1
DGKD
DHCR7
DHPS
DHX15
DHX33
DHX9
DIMT1
DLC1
DLD
DLGAP5
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC8
DNTTIP2
DPCD
DPF2
DPH2
DRAM1
DRG1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1LI1
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
EAPP
ECT2
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFNA1
EFTUD2
EGFR
EGLN1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF5A
EIF5AL1
ELAVL1
EMC3
ENAH
ENO1
ENTPD6
EPAS1
EPB41L1
EPB41L2
EPC1
EPN2
EPS8
EPS8L2
ERAL1
ERGIC2
ERLIN2
ERN1
ERRFI1
ERV3-1
ESAM
ESF1
EXOC7
EXOSC1
EXOSC2
EXOSC3
EXOSC6
EXOSC8
F2RL1
FAAP24
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FARSA
FARSB
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXW11
FEN1
FGA
FGF2
FGFR1
FH
FHL1
FHL2
FILIP1
FKBP11
FKBP3
FLNA
FLOT2
FMNL1
FN1
FOXA2
FOXC1
FTSJ1
FTSJ3
FUNDC1
G3BP1
G3BP2
G6PC3
GABPB1
GADD45A
GADD45B
GAN
GAPDH
GAR1
GAS2L1
GATC
GCFC2
GDF15
GFRA1
GGCX
GIGYF1
GINS1
GINS4
GIT1
GJA1
GJC1
GLIPR1
GLS
GMNN
GMPS
GNAQ
GNL3
GNPAT
GOLGB1
GOLT1B
GOSR1
GOT1
GPAT3
GPN3
GPX3
GREM1
GRIN2B
GRK6
GRN
GRWD1
GTF2F1
GTF2F2
GTF3C2
GTPBP4
GTSE1
GULP1
HACD3
HAT1
HCFC1
HDAC1
HDAC2
HDAC3
HERPUD1
HES1
HEXB
HIF1A
HJURP
HLA-A
HMG20B
HMGB2
HMGXB4
HMMR
HNRNPDL
HOXB13
HOXB8
HSP90AA1
