# Observed cut height: 0.009901826
# Observed size of largest cluster at observed cut height: 74
# Expected size of largest cluster at observed cut height: 15.0
# Observed maximum ratio statistic: 4.933
# Expected maximum ratio statistic: 1.855
# p-value: 0.0
# Clusters:
ACADVL	ACAT1	ACAT2	ACSL3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	BLVRA	CA12	CA8	CD24	CHML	CHURC1	CYB5B	CYP1B1	CYP24A1	CYP2S1	DHCR24	DHCR7	DHRS4	ELOVL5	EPHX1	ETFB	FADS2	FDFT1	FDPS	FNTA	FOXC1	G6PC3	GGCX	GGPS1	GPX2	GSTO1	HACD1	HACD2	HACD3	HADHA	HCCS	HMGCS1	HMOX1	HOXB13	HOXB8	HOXB9	HSD17B12	IDI1	INSIG1	KYNU	LYRM1	MAFK	MEIS2	MGLL	MLPH	MSMO1	MVD	NQO1	OPN3	PBX1	POR	PTDSS1	RAB22A	RAB27B	RABGGTB	RDH10	RDH11	SCD	SEPHS1	SQLE	SULT2B1	TEAD1	TEAD4	TXNRD1	VKORC1L1
AHNAK	AHNAK2	AP1G1	AP1M2	AP1S2	AP2A2	CAPN1	EHBP1	EHD2	HLA-A	MYOF	NECAP2	RAB10	RAB14	TAPBP
B4GALT1	B4GALT2	B4GALT4	GALE	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
AGR2	AGRN	COL18A1	DAG1	GPC1	LAMA5	LRFN4	PPFIBP1	PTPRF	PTPRS	SDC1
ARF4	ARF5	ARFIP2	ARL1	GCC2	RAB6A	VPS53
ATF5	CDC34	EGLN1	EPAS1	FLOT2	SLC2A1	STOM
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
CCL2	CXCL3	CXCL5	DHX33	IL18	PYCARD	TIMP1
ACBD3	CDC42EP3	GOLGA3	GOLGB1	GOPC	RHOQ
ARHGAP35	ARHGAP5	RHOB	RHPN2	RND3	ROCK2
B4GALNT1	GALNT1	GALNT2	HEXA	HEXB	ST3GAL5
CNTN1	FGFR1	NRCAM	NRP1	NRP2	VEGFB
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
ADAM10	ADAM17	TSPAN14	TSPAN15	TSPAN17
CEBPD	CELF1	MBNL1	QKI	RBPMS
CKAP4	DKK1	FZD2	SFRP1	WNT7B
IFT27	IFT43	IFT57	IFT81	TRAF3IP1
KRTCAP2	RPN2	STT3B	TRAM1	TUSC3
LETM1	MCU	MICU1	TRAPPC10	TRAPPC4
ACER3	ASAH1	KDSR	PSAP
CHMP1B	CHMP5	VPS28	VPS4A
CSE1L	KPNA1	KPNA2	KPNA4
DCDC2	TDP2	TOP1	TOP2B
EPB41L1	EPB41L2	EZR	MYH9
GRAMD1B	NPC1	NPC2	STARD3NL
IVNS1ABP	PRPS1	PRPS2	PRPSAP1
PROCR	SCARB1	TFPI	THBD
SERPINE2	SNX12	SNX6	VPS26A
STX4	STX8	VAMP3	VAMP8
ABCC1	ABCC2	ABCG2
ADIPOR2	NAMPT	NNMT
AHI1	B9D1	CEP290
ALG3	ALG8	BAIAP2L1
ARCN1	COPZ2	TMED10
ARL6IP1	ATL3	RTN3
ATP6AP1	ATP6AP2	ATP6V1E2
AXL	IL13RA1	JAK1
BASP1	MARCKS	MARCKSL1
BATF3	FOSL1	JUND
C19orf12	FA2H	PANK3
CASK	EPS8	EPS8L2
CDIPT	PIGH	PIGP
CHCHD6	MTX1	MTX2
COMMD1	COMMD2	COMMD5
COX16	L3HYPDH	TMEM109
EEF1A2	FLAD1	PAPSS2
FST	FSTL3	INHBB
HES6	MSC	TLE1
HMGA1	HMGA2	LPP
IGFBP7	MMP24	TIMP2
KANK1	KIF21A	PHLDB2
KRT18	KRT19	KRT8
LACTB	UBXN2A	UBXN4
MLX	MLXIP	MXD4
NGRN	RPUSD1	RPUSD3
NSMCE1	SLF1	SLF2
TNNT1	TPM1	TPM2
ACD	TERF1
ADM	ECE2
AJUBA	WTIP
ALDH1B1	ALDH2
ALDH3A1	ALDH3B1
ANKRD28	PPP6R1
AREG	EREG
ASH1L	USP34
ATPAF1	TMEM70
BBIP1	PCM1
BCAT1	BCAT2
CBR3	PTGES
CCDC47	NCLN
CCND3	CDKN2C
CD55	CD59
CDA	CES2
CDS2	LPIN1
CKB	GAMT
COL5A2	SERPINH1
COLGALT1	PLOD2
COPS6	COPS8
COQ5	COQ9
CPLX2	SYT1
CPS1	GLS
CTSB	CTSL
DAB2	LDLR
DSG2	JUP
ENAH	TES
ESRRA	SLC7A1
FLII	LRRFIP2
FRA10AC1	ZNF32
FRMD6	WWC1
FSCN1	RAB35
GABRA5	GABRB3
GAL	NLN
GPAT3	GPAT4
HYAL2	SPAG9
IGBP1	MID1
IREB2	SLC40A1
KCTD15	TMEM18
KDM5A	PHF23
KLHL42	TNFAIP1
LGR4	RSPO3
LMNA	SUN1
LMO4	SSBP4
LRPPRC	TACO1
MBD4	TDG
MPZL1	PMP22
MTHFD2	MTHFD2L
MZT1	TUBGCP2
NAA15	NAA60
NDUFA5	TIMMDC1
NEMF	TCF25
NR0B1	SOX9
NUAK1	USP9X
PAK4	RHOV
PEA15	RPS6KA3
PHF3	PTP4A1
PHLDA2	SLC22A18AS
PPP1R11	PPP1R7
PPP4R3A	PPP4R3B
PREB	SAR1B
RRBP1	SYNJ2BP
SDHAF1	SDHAF3
SETD7	SMYD2
SLC3A2	SLC7A5
SPTAN1	TRIOBP
STMN1	UHMK1
TACC1	TACC2
TAF1D	UBTF
TFAP2A	TFAP2C
TNRC6A	TNRC6B
TPD52L1	TPD52L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABI2
ABL2
ABT1
ACAA2
ACACA
ACIN1
ACO2
ACOT7
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACTR3
ACYP1
ADA
ADAM9
ADAR
ADH5
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFG3L2
AFMID
AGFG1
AGO2
AGPAT1
AGPAT5
AGTRAP
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AK3
AKAP12
AKAP9
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDOA
ALG5
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA1
ANXA2
ANXA5
ANXA7
APLP2
APOBEC3C
APOC1
APOE
APOO
APP
APPL1
APTX
AR
ARHGAP11A
ARID1A
ARID4B
ARL8B
ARNTL2
ARPC1B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASNS
ASPM
ASPSCR1
ASRGL1
ASXL1
ATAD2
ATAD5
ATF7
ATG12
ATG5
ATIC
ATMIN
ATP6V0D1
ATP6V1C1
ATP6V1D
ATP6V1E1
ATRX
ATXN2L
AURKA
AURKB
AVEN
AZI2
B4GALT3
B9D2
BABAM1
BAG2
BAG3
BAMBI
BANP
BAX
BAZ1A
BAZ2A
BBC3
BCAM
BCAR1
BCCIP
BCL2L1
BCL3
BCLAF1
BCS1L
BDNF
BDP1
BECN1
BET1
BHLHE40
BIN1
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BLVRB
BMP4
BMS1
BNIP2
BNIP3L
BOLA1
BOP1
BRCA1
BRD2
BRD3
BRIX1
BROX
BTBD6
BUB3
C11orf1
C11orf74
C12orf65
C16orf74
C1D
C1orf131
C6orf62
C9orf116
C9orf78
CACNG6
CACNG8
CACYBP
CALM2
CALR
CALU
CAMLG
CAND1
CANT1
CAPRIN1
CAPZA1
CASC3
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC88A
CCDC92
CCK
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
