genes names,significant lfc
EFHD2,0.07564128702847003
SH3BGRL3,0.19073936026469668
SFN,0.4102803305387819
CITED4,0.26059582367090367
PRDX1,-0.14818087705098743
JAK1,-0.29074323201504504
S100A6,0.17837827863574243
S100A4,0.21087378800807657
S100A3,0.23505121737261542
S100A16,0.2394567170134693
RPS27,-0.07008370260564827
LMNA,0.13228005176428095
TAGLN2,-0.05151978901983778
ELF3,-0.4751196885278851
ENAH,-0.25099910648360785
RP11-295G20.2,0.28534150783233514
OPN3,-0.37966088328328806
RPS7,-0.026982974496099415
ID2,0.28901988829126746
HPCAL1,0.5028848315675404
RHOB,0.7391184030627806
RAB10,-0.2996567052435569
CALM2,0.06118802854493514
AAK1,-0.3199374874801924
ST3GAL5,0.6111007506042382
MYO1B,-0.48625912140084243
ARL4C,0.37841811683157445
MLPH,0.4424434054657704
TKT,-0.25228439185760376
DCBLD2,0.43964017113415066
TM4SF1,0.31853465661300384
OCIAD2,0.2738498303429923
EREG,0.5157174720509032
AREG,0.46646495358480855
PALLD,-0.6173954300228883
TRIML2,-0.29809278823092417
BASP1,-0.06860892451842764
MAP1B,-0.05513766543415003
GLRX,-0.21749517658422532
TGFBI,0.19710125255045696
NPM1,-0.10380258604471573
DUSP1,0.09524086189245178
CPLX2,-0.6217172315042594
TRIM7,0.3853430985850076
GNB2L1,-0.05415126026099776
TUBB,-0.11854173087523708
IER3,0.3872058427569467
CLIC1,0.16177302903230678
HMGA1,0.2596497355616882
C6orf1,0.4734464617633149
CCND3,-0.3657765602973722
HSP90AB1,-0.15946877298444523
EEF1A1,-0.05996189492414309
TPD52L1,-0.4203822913223899
MAP7,-0.39489750097319226
AKAP12,0.5343443806342811
EZR,0.19401824075561233
ACTB,-0.053475621714240695
EPDR1,-0.3605374581207867
TNS3,-0.27094513992201336
GNG11,0.19177077685526547
ARPC1B,0.15689835626911303
CAV2,-0.023822632861845355
CAV1,-0.031224305264726176
AKR1B10,-0.471412845525408
SH3KBP1,0.43834608106591466
SAT1,0.1920759886878717
RPS4X,-0.051809078985228615
MORC4,0.32671621197052536
FLNA,-0.018842106118150903
DUSP4,0.6788132786983574
SFRP1,0.9472165087894544
TRAM1,-0.7407176736072596
SQLE,-0.1412487232618544
VPS28,0.32771425157403133
C8orf82,0.29422001041162693
TPM2,-0.23985578199418445
ALDH1A1,-0.20962121359379812
CTSL,0.7063043369106982
MSANTD3,0.1430945599690519
CTNNAL1,0.19043345669035353
PTGR1,-0.26619656906067063
PTGES,0.988102865839369
PHLDA2,0.7074209826039037
ADM,-0.5762034364383667
CD59,0.412905428606959
CD44,0.5039158846589278
AHNAK,0.18894520803588766
SLC3A2,-0.3019946498900618
CCDC85B,0.1471031896531802
RAB1B,0.3156314060004587
GAL,0.39501058488541246
MYEOV,0.2706395471123434
UCP2,-0.4219950266237612
PRSS23,-0.01451036995843672
DDX10,0.8800129166367391
KLF6,0.2828037547168329
AKR1C2,-0.7394429794770305
AKR1C1,-0.4730514480175521
AKR1C3,-0.672747101008813
FAM107B,0.46680418354999337
VIM,0.18799647741838252
DKK1,0.4531979676122503
KCNMA1,0.7939801482388327
TSPAN14,0.4497076815530054
SCD,-0.1920790404852927
CTBP2,0.32593445677169397
GAPDH,-0.06397042244354516
GPRC5A,0.584713845639163
MGST1,-0.11514188924739437
LDHB,-0.08998514874187981
KRAS,-0.0920182860777992
AMIGO2,-0.2997835382936908
TUBA1B,-0.16153412317290594
SPATS2,0.23331699323111166
KRT8,-0.14210465519982224
IGFBP6,0.3291082840425227
MYL6,-0.060909520930002015
PHLDA1,0.5160728061153936
TXNRD1,-0.1265142157905061
C12orf75,-0.18479726650550637
TSC22D1,0.9953456048323869
PCDH9,-0.42738700495978466
SNX6,0.26632006094397154
GPX2,-0.85377928491765
NPC2,-0.18578370432260086
TNFAIP2,-0.24495813611248343
CRIP1,0.2617176059073555
TJP1,-0.22207569942141286
CHP1,-0.31713892362067175
ANXA2,-0.0018355507622731192
TPM1,-0.12578299131391116
PAQR5,0.5221516706125927
PKM,0.10605294024786975
NMB,0.2936555123974035
ISG20,0.5269704147856293
MESP1,0.49135967232943345
METRN,-0.21236591088795712
TNFRSF12A,0.34532507956703695
NUPR1,-1.0832973212091137
MT2A,0.464510970767073
VPS4A,0.41615492521412945
CYB5B,0.24792682637616664
NQO1,0.11100261753586158
SLC7A5,-0.24202601328463116
FAM101B,-0.24701852356954918
PFN1,0.038551537485883816
EIF5A,0.10057957393643764
ALDH3A1,0.4119169687268114
IGFBP4,0.39302032639064344
PTRF,0.007840717317379075
ETV4,0.3783554184530128
G6PC3,0.24658132832882976
HOXB8,0.4090570004536345
ITGA3,0.5829905246188118
KPNA2,-0.2264048313044431
HN1,0.08038280068258195
ACTG1,-0.027983011159710858
SMOX,0.4472332424246105
BCL2L1,0.18831900525433032
MMP24-AS1,-0.15971339360021514
TGM2,0.7748172122780541
TOP1,0.28436763027155737
NFIC,-0.25854700682854154
AP1M2,-0.5585923477117275
GDF15,0.27845443603378717
SPINT2,0.131571876954543
PPP1R14A,0.15553899581856262
PAK4,0.43078459363524635
BLVRB,-0.1898523762481586
SHKBP1,0.4183999408514222
AXL,0.32739420109191564
VASP,0.31700722398187164
EMP3,0.39128390622586645
TNNT1,0.49310880670500623
UBE2S,0.0985426592039185
HMOX1,-0.6617365237319203
WNT7B,-0.13070028383252544
EVA1C,0.5518478956134802
PDXK,-0.5429087920360656
MT-ND1,-0.06272851589647525
