genes names,interactor
POR,yes
GAPDH,yes
CYP1B1,yes
FN1,yes
CXCL8,yes
SREBF1,yes
TP53,yes
CYB5R3,yes
UMPS,yes
EGFR,yes
PKM,yes
HPRT1,yes
CS,yes
ADSL,yes
BRCA1,yes
FDXR,yes
GMPS,yes
HADHB,yes
ECHDC1,yes
ALDH2,yes
ADH5,yes
GLUD1,yes
STAT3,yes
STAT1,yes
DHCR7,yes
MYC,yes
JUN,yes
ACTB,yes
ACTG1,yes
VCL,yes
MYL6,yes
LMNA,yes
MAPRE1,yes
RRM2,yes
CYP2S1,yes
ENO1,yes
S100A4,yes
SULT2B1,yes
NFE2L2,yes
CXCL1,yes
PGK1,yes
CTNNB1,yes
CDK1,yes
HIF1A,yes
SRC,yes
ACTN1,yes
ITGB1,yes
PTK2,yes
CD44,yes
ALDH1A1,yes
FGF2,yes
IL11,yes
CCL2,yes
CDC42,yes
ITGB4,yes
IQGAP1,yes
CD24,yes
AKR1B10,yes
AKR1C3,yes
EZR,yes
FDFT1,yes
ANXA2,yes
PXN,yes
MYH9,yes
PPARG,yes
ZYX,yes
KRAS,yes
