# Observed cut height: 0.007371688
# Observed size of largest cluster at observed cut height: 46
# Expected size of largest cluster at observed cut height: 10.8
# Observed maximum ratio statistic: 4.259
# Expected maximum ratio statistic: 1.763
# p-value: 0.0
# Clusters:
ACACA	ACAT1	ACAT2	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	DHCR7	ELOVL5	EPHX1	FADS2	FDFT1	FDPS	FOXC1	G6PC3	GGCX	GPX2	GSR	GSTO1	HACD1	HACD2	HCCS	HMGCS1	HMOX1	INSIG1	MAFK	MGLL	MGST1	MGST2	NDUFA5	NUS1	POR	PRPS1	PRPSAP1	RPIA	SCD	SQLE	SULT2B1	TKT	TXNRD1	VKORC1L1
CTSA	CTSB	CTSD	CTSL	PLAU	PLAUR	SERPINE2	SNX2	SNX6	VPS26A	VPS35
AKAP9	ARHGAP35	CDK5RAP2	PKN1	RHOB	RHPN2	RND3	ROCK2
B4GALT1	B4GALT2	B4GALT4	GALE	GALK1	PGM2L1	PYGB	UGP2
ASPSCR1	LACTB	PRCC	UBXN2A	UBXN4
ATF7	BATF3	FOSL1	JUND	MAP3K11
ATP6AP1	ATP6V1C1	ATP6V1D	ATP6V1E1	ATP6V1E2
BAMBI	DKK1	FZD2	SFRP1	WNT7B
CHML	MLPH	RAB22A	RAB27B	RAB31
CHMP1B	CHMP5	MVB12A	VPS28	VPS4A
COMMD1	COMMD10	COMMD2	COMMD5	COMMD9
EHBP1	EHD2	MYOF	RAB10	RAB14
ACADVL	ETFB	FDXR	TMEM109
ACER3	ASAH1	CERS2	KDSR
AGPAT1	GNPAT	GPAT3	LPIN1
AP1G1	AP1M2	AP1S2	HLA-A
AXL	IFNGR2	IL6ST	JAK1
B4GALNT1	GALNT1	HEXA	ST3GAL5
DPYSL2	MSI2	NUMBL	ZC3H14
NSMCE1	SLF1	SLF2	SMC5
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AK3	NT5E	TYMP
ALDH1A1	CD24	DHRS4
ANP32E	IGFBP4	PAPPA
AREG	EREG	NRG1
ARL6IP1	ATL3	RTN3
ATPAF1	ECSIT	TMEM70
B9D1	B9D2	TMEM237
BASP1	MARCKS	MARCKSL1
CA12	CA8	CYP24A1
CDC42EP1	CDC42EP3	RHOQ
CIAO1	CIAPIN1	NUBP1
EFNA1	EFNA5	EPHA2
FST	FSTL3	INHBB
GNG12	PAK4	RHOV
GRAMD1B	NPC1	NPC2
HMGA1	HMGA2	LPP
HOXB6	HOXB8	HOXB9
IFT27	IFT43	IFT81
IGFBP7	MMP24	TIMP2
KRT18	KRT19	KRT8
MBD4	TDG	UNG
MCL1	NUAK1	USP9X
NRCAM	NRP2	SEMA3C
ODC1	SAT1	SMOX
PROCR	SCARB1	TFPI
SDHAF1	SDHAF2	SDHAF3
TNNT1	TPM1	TPM2
ACTR3	ARPC1B
AGR2	DAG1
AJUBA	WTIP
ALDH3A1	ALDH3B1
ANXA1	S100A6
ARF4	ARF5
ARNTL2	NPAS2
ATF5	CDC34
CACNG6	CACNG8
CBR3	PTGES
CCL2	CXCL2
CCND3	CDKN2C
CD55	CD59
CES2	ESD
CHCHD6	MTX1
CNPY3	UNC93B1
CTDSP1	CTDSPL
CXCL3	CXCL5
DCDC2	TDP2
EPN2	ITSN2
ESRRA	SLC7A1
FJX1	TRIM44
FSCN1	RAB35
GABRA5	GABRB3
GAL	NTS
IL18	PYCARD
KANK1	KIF21A
KCTD15	TMEM18
KRTCAP2	STT3B
LGR4	RSPO3
LMNB2	SUN1
LMO4	SSBP4
MAP4	MARK3
MLX	MLXIP
MPZL1	PMP22
NAMPT	NNMT
NEMF	TCF25
NFYB	REPIN1
PANK2	PANK3
PHLDA2	SLC22A18AS
PIGH	PIGP
PPP1R11	PPP1R7
QKI	RBPMS
RAB5B	RIN2
RAB6A	VPS53
RRBP1	SYNJ2BP
SEC63	STRADB
SLC3A2	SLC7A5
SMC2	SMC4
STMN1	UHMK1
STX8	YKT6
TAF1D	UBTF
TGM2	TOR1A
TLE1	TLE4
TMED1	TMED10
TPD52L1	TPD52L2
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABI2
ABL2
ABT1
ACAA2
ACBD3
ACD
ACIN1
ACO2
ACOT7
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACYP1
ADA
ADAM10
ADAM17
ADAM9
ADAR
ADH5
ADIPOR2
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFG3L2
AFMID
AGFG1
AGO2
AGPAT5
AGRN
AGTRAP
AHI1
AHNAK
AHNAK2
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1B1
ALDH2
ALDOA
ALG3
ALG5
ALG8
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANXA2
ANXA5
ANXA7
AP2A2
APLP2
APOBEC3C
APOC1
APOE
APOO
APP
APPL1
APTX
AR
ARCN1
ARFIP2
ARHGAP11A
ARHGAP5
ARID1A
ARID4B
ARL1
ARL8B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASH1L
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATG12
ATG5
ATIC
ATMIN
ATN1
ATP6AP2
ATP6V0D1
ATRX
ATXN2
ATXN2L
AURKA
AURKB
AVEN
AZI2
B4GALT3
BABAM1
BAG2
BAG3
BAIAP2L1
BANP
BAX
BAZ1A
BAZ2A
BBC3
BBIP1
BCAM
BCAR1
BCAT1
BCAT2
BCCIP
BCL2L1
