# Observed cut height: 0.0030123706
# Observed size of largest cluster at observed cut height: 246
# Expected size of largest cluster at observed cut height: 88.4
# Observed maximum ratio statistic: 2.783
# Expected maximum ratio statistic: 1.752
# p-value: 0.0
# Clusters:
AAK1	ACAA2	ACACA	ACADVL	ACAT1	ACOT7	ACYP1	ADH5	ADPGK	AFMID	AGTRAP	AHNAK	AHNAK2	AJUBA	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH3A1	ALDH3B1	ALDOA	AMOTL2	ANXA1	AP1G1	AP1M2	AP1S2	AP2A2	APOBEC3C	APOE	APP	AREG	ATG5	BCAM	BIN1	BIRC3	BIRC6	CACYBP	CAPN1	CBR3	CCL2	CD24	CD44	CDA	CDYL	CES1	CES2	CFLAR	CHAC2	CHML	CHMP1B	CHMP2B	CHURC1	CLU	CMPK1	COMMD1	COMMD10	COMMD2	COMMD5	COMMD9	CPLX2	CREB3	CXCL2	CXCL5	CYB5B	CYB5R3	CYP1B1	CYP2S1	DCTD	DHRS3	DHRS4	ECH1	ECHDC1	ECI2	EHBP1	EHD1	EHD2	ELOVL1	ENO1	EPB41L1	EPHX1	EPN2	EREG	ESD	ETFB	EVL	EZR	FADD	FADS2	FCHO1	FDFT1	FJX1	FNTA	FOXC1	FUNDC1	GGCX	GGPS1	GLRX	GNAI2	GNAQ	GNB5	GNG11	GNG12	GOSR2	GPX2	GSR	HACD2	HACD3	HADHA	HAGH	HDAC3	HECW1	HGS	HLA-A	HMGCS1	HOXB13	HOXB6	HOXB8	HOXB9	HSD17B12	IL18	INSIG1	ITGA3	KEAP1	KIAA0930	KLHDC2	KRAS	KYNU	LAMA5	LAYN	LBR	MAFK	MAP1B	MAP3K14	ME1	MEIS2	MET	MGST1	MGST2	MLPH	MVD	MVK	MYH9	MYO10	MYOF	NCOR2	NDFIP1	NECAP2	NEDD4L	NF2	NFE2L1	NFKBIA	NKIRAS2	NRG1	NUS1	OPN3	PAK4	PALLD	PBX1	PCYOX1	PDHB	PFKFB3	PFKP	PGAM5	PITPNC1	PODXL	POR	PRAME	PRKAG2	PRPS2	PTGES	PTPRJ	PXN	QDPR	RAB10	RAB14	RAB1B	RAB22A	RAB27B	RAB31	RAB5A	RAB9A	RABGGTB	RAF1	RDH10	RDH11	RELB	RGS19	RHOBTB3	RHOV	RIC8A	RIN2	RPE	RPIA	RRAS2	S100A4	S100A6	SCD	SCP2	SEPHS1	SFN	SH3KBP1	SHARPIN	SLC9A3R1	SLC9A3R2	SOD2	SPP1	SPTAN1	SQLE	STX2	STX4	SULT2B1	SYT1	TAPBP	TBC1D20	TBL1X	TECR	TFRC	TKT	TMEM106B	TNFRSF10B	TRAPPC4	TRIM44	TRIOBP	TRIP6	TWF1	TXNDC12	TXNRD2	TYMP	UBE2J2	UCK2	USO1	USP8	VAMP2	VAMP3	VASP	VCL	VKORC1L1	VPS25	VPS28	VPS4A	VTA1	WWC1	YBEY	YKT6	ZYX
ASNS	CSE1L	CTBP1	CTBP2	EIF2A	EIF2AK2	FAAP24	HES1	HES6	IPO5	IPO9	IRF3	KLF3	KPNA3	KPNA4	MSC	PHGDH	PSAT1	RNF135	STRBP	TLE1	XPOT
ASPSCR1	DERL2	EMC3	ERGIC2	HEXIM1	HEXIM2	LACTB	MEPCE	METTL16	NPLOC4	NSFL1C	UBE2G1	UBE2J1	UBN1	UBXN2A	UBXN4	WTAP	YTHDC1	YTHDF2	ZC3H13
AKAP9	ARHGAP35	CKAP5	DIAPH1	GAS2L1	LMNA	MACF1	MAPRE1	PKN1	PKN2	RHOB	RHOD	RND3	ROCK1	ROCK2	SUN1	SYNE1	TACC1	TACC2
AFG3L2	ATPAF1	ECSIT	LONP1	NDUFA13	NDUFA5	NDUFA7	NDUFA9	NDUFAF4	NDUFB5	OCIAD1	PMPCB	SPG7	TIMMDC1	TMEM70	YME1L1
AAAS	CETN2	GORASP2	LMAN1	PREB	RRAGA	SAR1A	SAR1B	SEC13	TFG	TMED1	TMED10	TMED4	TMED7	TPR
CTSB	CTSD	CTSL	FBXO7	PLAU	PLAUR	PROCR	SERPINE2	SNX12	SNX2	SNX6	SNX8	TFPI	THBD	VPS35
DNAJC8	NKTR	PDCD7	PNISR	PRPF38B	RBM23	RBM25	RSRC2	SON	SREK1	SRSF11	SRSF4	SRSF6	TRA2A	ZMAT5
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	ST6GAL2	UAP1
AGPAT1	CDIPT	CDS2	DGKD	DGKE	GNPAT	GPAT3	LPIN1	MFSD10	PIGH	PIGP	PLCD3
ATRX	CSAG1	GLUD1	IDH1	IDH3B	MAGEF1	NCAPD2	NSMCE1	SLF1	SMC2	SMC5
C12orf65	MRPL10	MRPL44	MRPL47	MRPL49	MRPL50	MRPS27	MTERF4	MTIF3
ADAM10	ADAM17	CD81	CLDN1	ESAM	TSPAN14	TSPAN15	TSPAN17
CDC42EP1	CDC42EP3	CDC42EP4	EXOC7	GOPC	RHOQ	TNFAIP2
GPN1	GPN3	GTF3C2	PDRG1	PIH1D1	POLR3D	POLR3G
ALG3	ALG8	BAIAP2L1	DPM1	DPM3	MTFMT
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
C11orf1	C9orf116	CFAP20	TUBA4A	TUBB4B	TUBB6
CNP	CTDSP1	MBP	MPZL1	PMP22	REST
KRTCAP2	RPN2	SSR1	STT3B	TRAM1	TUSC3
AHI1	B9D1	B9D2	TMEM107	TMEM237
ARF4	ARF5	ARFIP2	ARL1	SCOC
ATF7	FOSL1	FOSL2	MAP3K11	PTP4A1
ATP6AP1	ATP6AP2	ATP6V1D	ATP6V1E2	TMEM199
BBC3	DDIT3	ERO1A	PDIA4	TRIB3
BCS1L	SCO1	SCO2	SURF1	TACO1
ADIPOR2	APPL1	NAMPT	NNMT
APTX	COQ5	COQ9	FXN
ATXN2	DDX6	FAM98A	NUFIP2
BASP1	MARCKS	MARCKSL1	PRKCSH
BMP4	FST	FSTL3	INHBB
C19orf12	FA2H	PANK2	PANK3
CHD3	GATAD2A	MBD2	PHF20L1
CNOT1	CNOT4	TNRC6A	TOB1
DDX39A	THOC2	THOC3	THOC6
DNAJA1	GRPEL1	HSPA1A	TIMM44
FGFR1OP2	KRIT1	STK25	TAOK1
GAL	GIP	NLN	NTS
GRAMD1B	NPC1	NPC2	STARD3NL
KCTD1	KCTD15	TFAP2A	TMEM18
PDLIM5	PDLIM7	TNNT1	TPM2
PPP4R2	PPP4R3A	PPP4R3B	TIPRL
PSMC3	PSMD7	PSME1	PSME2
THAP11	THAP2	THAP4	THAP7
ABCC1	ABCC2	ABCG2
ACER3	ASAH1	KDSR
ADK	AK3	PDE8A
ADM	ECE2	EDN1
BCAT1	BCAT2	SDSL
CCT5	CCT7	CCT8
CEBPD	CELF1	MBNL1
COLGALT1	FKBP10	PLOD2
DPYSL2	DPYSL3	FES
HIP1	IFT27	IFT57
HMGA1	HMGA2	LPP
IGFBP4	PAPPA	STC2
IGFBP6	PHLDA2	SLC22A18AS
KRT18	KRT19	KRT8
NGRN	RPUSD1	RPUSD3
NRP1	NRP2	SEMA3C
ODC1	SAT1	SMOX
PPP1CB	PPP1R12A	WDR82
SDHAF1	SDHAF2	SDHAF3
TAF1D	TCOF1	UBTF
TGM2	TOR1A	TOR1AIP2
ABI2	NCKAP1
ACD	TERF1
AIFM1	ENDOG
ALDH1B1	ALDH2
ARNTL2	NPAS2
ATF5	CDC34
BAZ1A	RSF1
BAZ2A	TTF1
BBIP1	PCM1
BCLAF1	THRAP3
BLVRA	BLVRB
BOLA1	PDXK
BRIX1	GTPBP4
CACNG6	CACNG8
CASK	EPS8L2
CCDC47	NCLN
CD2BP2	EAPP
CD55	CD59
CIAO1	NUBP1
CKB	GAMT
CLCF1	IL6ST
CNPY3	UNC93B1
COPS7B	GPS1
COX16	TMEM109
DCDC2	TDP2
DDX10	DDX24
DIO2	SECISBP2
DYNLL2	TCTEX1D2
E2F6	INO80C
EIF2AK4	EIF2B1
ESRRA	SLC7A1
FARSA	FARSB
FLII	LRRFIP2
FLOT2	STOM
GABRA5	GABRB3
GIT1	GRK6
GTF2H1	TAF7
HAT1	WDR73
HERC2	MAPK6
HEXA	ST3GAL5
HYAL2	SPAG9
IGFBP7	TIMP2
KANK1	KIF21A
LMO4	SSBP4
LRPAP1	RGS14
MAP4	MARK3
MBD4	TDG
MLX	MXD4
MSI2	ZC3H14
MUC5AC	TFF1
NAA15	NAA60
NEMF	TCF25
NR2F2	RERE
PDE6D	UNC119
PHAX	SNUPN
PPFIBP1	PTPRF
PPP1R10	TOX4
RAD51D	XRCC2
RRBP1	SYNJ2BP
SEC63	STRADB
SLC3A2	SLC7A5
SRP68	SRP72
TNIP1	TNIP2
TPD52L1	TPD52L2
TRMT10C	WDR4
ZFP36L1	ZFP36L2
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABL2
ABT1
ACAT2
ACBD3
ACIN1
ACO2
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACTR3
ADA
ADAM9
ADAR
ADNP
ADSL
AFAP1
AFF4
AGFG1
AGO2
AGPAT5
AGR2
AGRN
AIFM2
AIMP1
AIMP2
AIP
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALG5
AMFR
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA5
ANXA7
APLP2
APOC1
APOO
AR
ARCN1
ARHGAP11A
ARHGAP5
ARID1A
ARID4B
ARL6IP1
ARL8B
ARPC1B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASH1L
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATG12
ATIC
ATL3
ATMIN
ATN1
ATP6V0D1
ATP6V1C1
ATP6V1E1
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
B4GALNT1
BABAM1
BAG2
BAG3
BANP
BATF3
BAX
BCAR1
BCCIP
BCL2L1
BCL3
BDNF
BDP1
BECN1
BET1
BHLHE40
BIRC2
BIRC5
BLOC1S4
BMS1
BNIP2
BNIP3L
BOP1
BRCA1
BRD2
BRD3
BROX
BTBD6
BUB3
C11orf74
C16orf74
C1D
C1orf131
C6orf62
C9orf78
CA12
CA8
CALM2
CALR
CALU
CAMLG
CAND1
CANT1
CAPRIN1
CAPZA1
CASC3
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC88A
CCDC92
CCK
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCND3
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCZ1
CD3EAP
CD47
CD9
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
CDKN2C
CDT1
CEBPB
CEBPZ
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP290
CEP55
CERS2
CFDP1
CHAF1A
CHAMP1
CHCHD6
CHD1
CHD4
CHEK1
CHMP1A
CHMP5
CHORDC1
CHTF8
CIAPIN1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKS2
CLINT1
CLIP1
CLSPN
CNOT2
CNTN1
COIL
COL18A1
COL4A2
COL5A2
COL7A1
COMMD3
COPS5
COPS6
COPS7A
COPS8
COPZ2
CPS1
CPSF6
CREB1
CRELD2
CRTC3
CRYZ
CS
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTCF
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSA
CTSC
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL1
CXCL3
CXCL8
CYBA
CYP24A1
DAAM1
DAB2
DAG1
DAP
DAP3
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCTN1
DCTN2
DCTN6
DDB1
DDB2
DDIT4
DDOST
DDX17
DDX18
DDX23
DDX27
DDX42
DDX52
DDX54
DDX56
DEPDC1
DERA
DERL1
DESI1
DHCR24
DHCR7
DHPS
DHX15
DHX33
DHX9
DIMT1
DLC1
DLD
DLGAP5
DMWD
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC4
DNM1L
DNTTIP2
DOCK5
DPCD
DPF2
DPH2
DR1
DRAM1
DRG1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1I2
DYNC1LI1
DYNC1LI2
DYNLL1
DYNLT3
DYRK4
E2F1
E2F4
ECT2
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFNA1
EFNA5
EFTUD2
EGFR
EGLN1
EIF1
EIF1AY
EIF1B
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAC2
ELAVL1
ELOVL5
ENAH
ENTPD6
EPAS1
EPB41L2
EPC1
EPHA2
EPS8
ERAL1
ERLIN2
ERN1
ERRFI1
ERV3-1
ESF1
ETV4
EWSR1
EXOG
EXOSC1
EXOSC2
EXOSC3
EXOSC6
EXOSC7
EXOSC8
F2RL1
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FAT1
FBLIM1
FBN2
FBRSL1
FBXL15
FBXO22
FBXW11
FDPS
FDXR
FEN1
FERMT1
FGA
FGF2
FGFR1
FH
FHL1
FHL2
FILIP1
FKBP11
FKBP1B
FKBP3
FLAD1
FLNA
FMNL1
FN1
FNIP1
FOXA2
FRA10AC1
FRMD6
FSCN1
FTSJ1
FTSJ3
FUBP1
FXR1
G3BP1
G3BP2
G6PC3
GABPB1
GADD45A
GADD45B
GALNT1
GALNT2
GAN
GAPDH
GAR1
GATC
GCC2
GCFC2
GDF15
GFER
GFRA1
GIGYF1
GINS1
GINS4
GJA1
GJC1
GLIPR1
GLS
GMNN
GMPS
GNAI3
GNL3
GOLGA3
GOLGB1
GOLT1B
GOSR1
GOT1
GPAT4
GPC1
GPX3
GPX8
GREM1
GRIN2B
GRN
GRWD1
GSTO1
GTF2F1
GTF2F2
GTSE1
GULP1
HACD1
HADHB
HAUS1
HAUS2
HAUS6
HCCS
HCFC1
HDAC1
HDAC2
HERPUD1
HEXB
HIF1A
HIPK2
HJURP
HM13
HMG20B
HMGB2
HMGXB4
HMMR
HMOX1
HMOX2
HNRNPDL
HNRNPH1
