# Observed cut height: 0.0036775016
# Observed size of largest cluster at observed cut height: 233
# Expected size of largest cluster at observed cut height: 48.8
# Observed maximum ratio statistic: 4.775
# Expected maximum ratio statistic: 1.890
# p-value: 0.0
# Clusters:
AAAS	ACACA	ACADVL	ACAT1	ACAT2	ACOT7	ACSL3	ACTN1	ADH5	ADIPOR2	ADPGK	AGR2	AGRN	AGTRAP	AK3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH3A1	ALDH3B1	AREG	ASPSCR1	ATP6AP1	ATP6AP2	ATP6V1C1	ATP6V1D	ATP6V1E2	ATPAF1	AXL	BDNF	BET1	BLVRA	BLVRB	CACNG6	CACNG8	CCL2	CD24	CD44	CD47	CES1	CHML	CHURC1	COL18A1	CSF1	CTNNA1	CTSA	CTSB	CTSD	CTSL	CXCL1	CXCL2	CXCL3	CXCL5	CXCL8	CYB5B	CYB5R3	CYP1B1	CYP2S1	DAG1	DESI1	DHCR24	DHCR7	DHRS4	DHX33	DNAJC4	ECSIT	ELOVL1	ELOVL5	ENAH	EPAS1	EPHX1	EREG	ESD	ETFB	FADS2	FBXO7	FDFT1	FDPS	FGF2	FGFR1	FNTA	FOXC1	G6PC3	GABPB1	GFRA1	GGCX	GGPS1	GLRX	GPC1	GPX2	GPX8	GRIN2B	GSR	GSTO1	HACD1	HACD2	HACD3	HADHB	HAGH	HMGCS1	HMOX1	HSD17B12	IDI1	IFNGR2	IL13RA1	IL18	INSIG1	IRS2	ITFG2	ITGA3	IVNS1ABP	JAK1	KIF5B	KYNU	LACTB	LAMC2	LBR	LYRM1	MAFK	MCL1	ME1	MET	MGLL	MGST1	MIF	MLPH	MSMO1	MVD	MYO10	NAMPT	NDUFA5	NDUFB5	NFE2L2	NNMT	NPRL3	NQO1	NRG1	NSFL1C	NT5E	NUDT15	NUP62	NUS1	ODC1	OPN3	PALLD	PDLIM7	PITPNC1	PLAU	PLAUR	PMF1	PPFIBP1	PROCR	PRPS1	PRPSAP1	PTDSS1	PTPRF	PXN	PYCARD	RAB1B	RAB22A	RAB27B	RAB31	RABGGTB	RDH10	RPE	RPIA	S100A4	SAR1A	SAR1B	SAT1	SCARB1	SCD	SDC1	SEC13	SEC22C	SEPHS1	SERPINE2	SIRT7	SMOX	SNAP47	SNX12	SNX6	SNX8	SOCS2	SQLE	SSBP1	STAT1	STAT3	STX2	SULT2B1	TACC1	TACC2	TAF1D	TBC1D20	TCOF1	TECR	TFG	TFPI	THBD	TIMMDC1	TIMP1	TJP1	TKT	TMED10	TMEM199	TMEM70	TNNT1	TPD52L1	TPD52L2	TPM1	TPM2	TPR	TRAPPC4	TRAPPC6A	TRIM59	TXNRD1	UBQLN1	UBTF	UBXN2A	UBXN4	USO1	VAMP3	VAMP8	VASP	VEGFB	VGF	VKORC1L1	VPS26A	VPS35	YAF2	YKT6
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	UAP1	UGP2
ATN1	ATXN2	ATXN2L	CAPRIN1	FAM98A	FXR1	PABPC4	RTCB	USP10	ZBTB8OS
BROX	CHMP1A	CHMP1B	CHMP2B	CHMP5	HGS	MVB12A	VPS25	VPS28	VPS4A
AP1G1	AP1M2	AP2A2	BIN1	CLINT1	EPN2	FCHO1	ITSN2	NECAP2
ATF7	BATF3	FOSL1	JUNB	JUND	KIAA0930	MAP3K11	NEDD4L	SFN
AGPAT1	AGPAT5	CDS2	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
ANP32E	IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
LUC7L	NKTR	PNISR	RBM25	SREK1	SRSF11	SRSF6
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
C11orf74	HIP1	IFT27	IFT43	IFT57	IFT81
COMMD1	COMMD10	COMMD2	COMMD5	COMMD9	PRAME
CSAG1	MAGEF1	NSMCE1	SLF1	SLF2	SMC5
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
IGBP1	MID1	PPP4R2	PPP4R3A	PPP4R3B	TIPRL
ABI2	ACTR3	ARPC1B	NCKAP1	WASF2
ALG5	ALG8	DPM1	DPM3	MPDU1
B4GALNT1	GALNT1	GALNT2	HEXA	ST3GAL5
B9D1	B9D2	TCTN1	TMEM107	TMEM237
COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
EHBP1	EHD1	RAB10	RAB11FIP2	RAB14
GPN1	GTF3C2	PIH1D1	POLR3D	POLR3G
LRPPRC	SCO1	SCO2	SURF1	TACO1
MAP3K14	MAP3K8	REL	TNIP1	TNIP2
ADAM10	ADAM17	TSPAN14	TSPAN17
AKAP9	CDK5RAP2	PKN1	PKN2
BASP1	MARCKS	MARCKSL1	PRKCSH
BOLA1	CIAO1	CIAPIN1	NUBP1
CCK	GAL	GIP	NLN
COPS6	COPS7A	COPS8	GPS1
DCDC2	TDP2	TOP1	TOP2B
DDOST	KRTCAP2	RPN2	TUSC3
HES6	MSC	TLE1	TLE4
HOXB13	MEIS2	TEAD1	TEAD4
LMNA	LMNB2	SUN1	SYNE1
LRPAP1	RALA	RALB	RGS14
MRPL10	MRPS18B	MRPS27	MTIF3
PSMB9	PSME1	PSME2	PSMG2
UBN1	WTAP	YTHDC1	YTHDF2
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AHNAK	AHNAK2	MYOF
ARF4	ARF5	ARFIP2
C11orf1	C9orf116	CFAP20
C19orf12	PANK2	PANK3
C1D	EXOSC3	ZCCHC8
CA12	CA8	CYP24A1
CDIPT	PIGH	PIGP
CHCHD6	MTX1	MTX2
CNP	MPZL1	PMP22
CTDSP1	CTDSPL	MBP
CUX1	ETV4	EWSR1
DDIT3	ERO1A	TRIB3
EFNA1	EFNA5	EPHA2
FST	FSTL3	INHBB
GADD45A	MBD4	TDG
GNG12	PAK4	RHOV
GRAMD1B	NPC2	STARD3NL
HMGA1	HMGA2	LPP
HOXB6	HOXB8	HOXB9
KRT18	KRT19	KRT8
LETM1	MCU	MICU1
LTBP3	LTBP4	TGFB2
NRCAM	NRP2	SEMA3C
PLIN3	RABEPK	RHOBTB3
SDHAF1	SDHAF2	SDHAF3
THAP11	THAP4	THAP7
TRMT10C	TRMT6	TRMT61A
AASDHPPT	HAT1
ACBD3	GOLGA3
ACD	TERF1
AFG3L2	LONP1
AJUBA	WTIP
AKIRIN1	AKIRIN2
ANKRD28	PPP6R1
APOC1	CLU
ARCN1	COPZ2
ARHGAP35	ARHGAP5
ARNTL2	NPAS2
ASAH1	KDSR
ATF5	CDC34
ATL3	RTN3
BBIP1	PCM1
CAPZA1	DCTN6
CBR3	PTGES
CCND3	CDKN2C
CD55	CD59
CDC42EP3	RHOQ
CEBPD	CELF1
CKB	GAMT
CMPK1	UCK2
CNPY3	UNC93B1
CRELD2	MANF
DIAPH1	RHOD
DPF2	SMARCD2
DRG1	TSN
DYNC1H1	DYNC1I2
EIF2AK4	EIF2B1
EPC1	MSL1
EPS8	EPS8L2
ESRRA	SLC7A1
FLOT2	STOM
FRA10AC1	ZNF32
FRMD6	WWC1
GABRA5	GABRB3
HES1	UBE2T
HEXIM2	MEPCE
HYAL2	SPAG9
IGFBP7	TIMP2
IPO5	IPO9
IRF3	MAVS
KANK1	KIF21A
KCTD15	TMEM18
KLHL42	TNFAIP1
L3HYPDH	TMEM109
LGR4	RSPO3
LMO4	SSBP4
MAP4	MARK3
MLX	MLXIP
MUC5AC	TFF1
NAA15	NAA60
NEIL2	PNKP
NFYB	REPIN1
NR0B1	SOX9
NUAK1	USP9X
PARD6A	PARD6B
PDE6D	UNC119
PDHA1	PDK4
PEX2	ZC3H8
PHAX	SNUPN
PHF3	PTP4A1
PPP1R11	PPP1R7
QKI	RBPMS
RAB5B	RIN2
RAD51D	XRCC2
RNF5	UBE2J1
ROCK1	ROCK2
RRBP1	SYNJ2BP
SEC63	STRADB
SLC25A4	VDAC3
SLC3A2	SLC7A5
SPTAN1	TRIOBP
STMN1	UHMK1
TGM2	TOR1AIP2
TLK1	TLK2
ZFP36L1	ZFP36L2
AAK1
AAMP
AATF
ABCE1
ABCF1
ABCF2
ABL2
ABT1
ACAA2
ACER3
ACIN1
ACO2
ACTB
ACTG1
ACTL6A
ACTN4
ACTR1A
ACTR1B
ACYP1
ADA
ADAM9
ADAR
ADK
ADNP
ADSL
AFAP1
AFF4
AFMID
AGFG1
AGO2
AHI1
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AKAP12
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1B1
ALDH2
ALDOA
ALG3
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD40
ANKRD9
ANLN
ANXA1
ANXA2
ANXA5
ANXA7
AP1S2
APLP2
APOBEC3C
APOE
APOO
APP
APPL1
APTX
AR
ARHGAP11A
ARID1A
ARID4B
ARL1
ARL6IP1
ARL8B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASH1L
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATG12
ATG5
ATIC
ATMIN
ATP6V0D1
ATP6V1E1
ATRX
AURKA
AURKB
AVEN
AZI2
BABAM1
BAG2
BAG3
BAIAP2L1
BANP
BAX
BAZ1A
BAZ2A
BBC3
BCAM
BCAR1
BCAT1
BCAT2
BCCIP
BCL2L1
BCL3
BCLAF1
BCS1L
BDP1
BECN1
BHLHE40
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOP1
BRCA1
BRD2
BRD3
BRIX1
BTBD6
BUB3
C12orf65
C16orf74
C1orf131
C6orf62
C9orf78
CACYBP
CALM2
CALR
CALU
CAMLG
CAND1
CANT1
CAPN1
CASC3
CASK
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC47
CCDC88A
CCDC92
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD2BP2
CD3EAP
CD81
CD9
CDA
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK6
CDKN1A
CDT1
CDYL
CEBPB
CEBPZ
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP290
CEP55
CERS2
CES2
CETN2
CFDP1
CFLAR
CHAC2
CHAF1A
CHAMP1
CHD1
CHD3
CHD4
CHEK1
CHORDC1
CHTF8
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLCF1
CLDN1
CLIP1
CLSPN
CNOT1
CNOT2
CNOT4
CNTN1
COIL
COL4A2
COL7A1
COMMD3
COPS5
COPS7B
COQ5
COQ9
COX16
CPLX2
CPS1
CPSF6
CREB1
CREB3
CRTC3
CRYZ
CS
CSE1L
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTBP1
CTBP2
CTCF
CTDSP2
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSC
CTTN
CTU1
CUL3
CWC15
CWC25
CWC27
CYBA
DAAM1
DAB2
DAP
DAP3
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCTD
DCTN1
DCTN2
DDB1
DDB2
DDIT4
DDX10
DDX17
DDX18
DDX23
DDX24
DDX27
DDX39A
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL1
DERL2
DGKD
DGKE
DHPS
DHRS3
DHX15
DHX9
DIMT1
DIO2
DLC1
DLD
DLGAP5
DMWD
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC8
DNM1L
DNTTIP2
DOCK5
DPCD
DPH2
DR1
DRAM1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1LI1
DYNC1LI2
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
E2F6
EAPP
ECH1
ECHDC1
ECI2
ECT2
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFTUD2
EGFR
EGLN1
EHD2
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAC2
ELAVL1
EMC3
ENDOG
ENO1
