# Observed cut height: 0.012168631
# Observed size of largest cluster at observed cut height: 56
# Expected size of largest cluster at observed cut height: 9.3
# Observed maximum ratio statistic: 6.022
# Expected maximum ratio statistic: 1.721
# p-value: 0.0
# Clusters:
ACAT1	ACAT2	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	DHCR7	ELOVL5	EPHX1	ERLIN2	FADS2	FDFT1	FDPS	FOXC1	G6PC3	GGCX	GPX2	HACD1	HACD2	HACD3	HMGCS1	HMOX1	HOXB6	HOXB8	HSD17B12	IDI1	INSIG1	KYNU	LBR	LMNB2	MAFK	MEIS2	MGLL	MSMO1	MVD	NFE2L1	PBX1	POR	PTDSS1	QDPR	SCD	SEPHS1	SQLE	SULT2B1	SUN1	SYNE1	TECR	TKT	TXNRD1	TXNRD2	VKORC1L1
CTSB	CTSL	PLAU	PLAUR	SERPINE2	SNX12	VPS26A	VPS35
ADH5	ALDH1A1	ALDH3A1	ALDH3B1	CD24	DHRS4	RDH10
B4GALNT1	GALNT1	GALNT2	HEXA	HEXB	ST3GAL5
B4GALT2	GALE	PGM2L1	PYGB	ST6GAL2	UGP2
CCL2	CXCL3	CXCL5	DHX33	IL18	PYCARD
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
AGR2	AGRN	COL18A1	DAG1	GPC1
CHML	MLPH	OPN3	RAB1B	RAB27B
CKAP4	DKK1	FZD2	SFRP1	WNT7B
ADIPOR2	NAMPT	NNMT	NT5E
ASPSCR1	LACTB	UBXN2A	UBXN4
C19orf12	FA2H	PANK2	PANK3
CHMP1B	CHMP5	VPS28	VPS4A
DCDC2	TDP2	TOP1	TOP2B
EHBP1	EHD2	RAB10	RAB14
MCL1	NUAK1	PMAIP1	USP9X
ABCC1	ABCC2	ABCG2
ACADVL	ETFB	LYRM1
ALG3	ALG5	DPM3
AREG	EREG	NRG1
ARF4	ARF5	ARFIP2
ATP6AP1	ATP6V1C1	ATP6V1E2
BASP1	MARCKS	MARCKSL1
BDNF	GFRA1	VGF
COLGALT1	FKBP10	PLOD2
COMMD2	COMMD5	COMMD9
FOSL1	JUNB	JUND
FST	FSTL3	INHBB
GAL	NLN	NTS
GNG12	PAK4	RHOV
HMGA1	HMGA2	LPP
IGFBP4	PAPPA	STC2
IGFBP7	MMP24	TIMP2
KRT18	KRT19	KRT8
KRTCAP2	RPN2	TUSC3
LETM1	MCU	MICU1
ODC1	SAT1	SMOX
THAP11	THAP4	THAP7
TMED1	TMED10	TMED4
TNNT1	TPM1	TPM2
ACBD3	GOLGA3
AJUBA	WTIP
ANXA1	S100A6
AP1G1	AP1S2
AP1M2	CLINT1
ARHGAP35	ARHGAP5
ASH1L	USP34
ATPAF1	TMEM70
B9D1	B9D2
BCAT1	BCAT2
CA12	CYP24A1
CACNG6	CACNG8
CASK	EPS8L2
CBR3	PTGES
CCND3	CDKN2C
CD55	CD59
CDC42EP3	RHOQ
CIAO1	CIAPIN1
DNAJC4	VEGFB
EFNA1	EPHA2
ESRRA	SLC7A1
FLII	LRRFIP2
FLOT2	STOM
FSCN1	RAB35
G3BP2	USP10
GABRA5	GABRB3
GNPDA1	GNPNAT1
GRAMD1B	NPC2
HES6	MSC
HYAL2	SPAG9
IL13RA1	JAK1
IMMT	MTX1
IVNS1ABP	PRPSAP1
KANK1	KIF21A
KCTD15	TMEM18
KPNA2	KPNA4
LGR4	RSPO3
LMO4	SSBP4
MAP4	MARK3
MBD4	TDG
MLX	MLXIP
MPZL1	PMP22
NAA15	NAA60
NEMF	TCF25
NFYB	REPIN1
NRCAM	NRP2
NSMCE1	SLF1
PHLDA2	SLC22A18AS
PPFIBP1	PTPRF
PPP1R11	PPP1R7
PPP4R3A	PPP4R3B
PREB	SAR1B
PROCR	SCARB1
QKI	RBPMS
RAB5B	RIN2
SDHAF1	SDHAF3
SLC3A2	SLC7A5
SPTAN1	TRIOBP
STMN1	UHMK1
TACC1	TACC2
TAF1D	UBTF
TPD52L1	TPD52L2
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABI2
ABL2
ABT1
ACAA2
ACACA
ACD
ACER3
ACIN1
ACO2
ACOT7
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACTR3
ACYP1
ADA
ADAM10
ADAM17
ADAM9
ADAR
ADK
ADM
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFG3L2
AFMID
AGFG1
AGO2
AGPAT1
AGPAT5
AGTRAP
AHI1
AHNAK
AHNAK2
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AK3
AKAP12
AKAP9
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1B1
ALDH2
ALDOA
ALG8
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA5
ANXA7
AP2A2
APLP2
APOBEC3C
APOC1
APOE
APOO
APP
APPL1
APTX
AR
ARCN1
ARHGAP11A
ARID1A
ARID4B
ARL1
ARL6IP1
ARL8B
