# Observed cut height: 0.0030089112
# Observed size of largest cluster at observed cut height: 331
# Expected size of largest cluster at observed cut height: 153.4
# Observed maximum ratio statistic: 2.158
# Expected maximum ratio statistic: 1.731
# p-value: 0.1
# Clusters:
ACAA2	ACACA	ACADVL	ACAT1	ACAT2	ACER3	ACSL3	ACTN1	ADIPOR2	AFG3L2	AFMID	AGPAT1	AGPAT5	AGTRAP	AHNAK	AHNAK2	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDOA	ANXA1	APOBEC3C	APPL1	ARCN1	AREG	ARL8B	ASAH1	ASNS	ASRGL1	ATG12	ATG5	ATPAF1	BBC3	BCL2L1	BDP1	BET1	BIRC2	BIRC6	C12orf65	CACYBP	CAMLG	CAPN1	CD3EAP	CD47	CDA	CDIPT	CDS2	CDYL	CES1	CES2	CETN2	CFLAR	CHAC2	CHMP2B	CHURC1	CLDN1	COPZ2	CPLX2	CTBP1	CTBP2	CTSB	CTSL	CYP1B1	DAP3	DCTD	DDIT3	DDX39A	DGKE	DHCR24	DNM1L	ECH1	ECHDC1	ECSIT	EEF1A2	EHBP1	EHD1	EHD2	ENAH	EPAS1	EPB41L1	EPHX1	EREG	ERLIN2	ERO1A	ESAM	ESD	ETFB	EZR	FADD	FAT1	FBLIM1	FDFT1	FDPS	FERMT1	FJX1	FLAD1	FLNA	FNTA	FOXC1	FSCN1	FUNDC1	G6PC3	GABPB1	GAN	GCC2	GGCX	GLRX	GORASP2	GOSR2	GPC1	GPN1	GPN3	GPX2	GPX8	GRN	GSR	GTF3C2	HADHB	HAGH	HGS	HOXB6	HOXB8	HOXB9	HPRT1	IDI1	ILK	IMPAD1	INSIG1	IPO5	IPO9	IREB2	KANK1	KEAP1	KIF5B	KLF3	KPNA2	KPNA3	KPNA4	LBR	LMAN1	LMNA	LMNB2	LONP1	LPIN1	LRFN4	LYRM1	MAFK	MAP1B	MAP1LC3A	MCL1	ME1	MGLL	MGST1	MRPL37	MRPL44	MRPL47	MRPL50	MRPS17	MRPS18B	MRPS27	MSMO1	MTERF4	MTIF2	MVD	MVK	MYH9	MYOF	NAMPT	NAPA	NDUFA10	NDUFA13	NDUFA5	NDUFA9	NDUFAF4	NDUFB5	NEIL2	NFE2L1	NNMT	NRG1	NT5C2	NUP155	NUP62	NUS1	OPTN	PALLD	PAPSS2	PBX1	PDLIM5	PDLIM7	PEA15	PFDN6	PFKFB3	PFKP	PGAM5	PHGDH	PHLDB2	PIGH	PIGP	PITPNC1	PLAU	PLAUR	PLCD3	PLIN3	PLPP5	PNKP	PODXL	POLR3D	POLR3G	POLR3GL	PPFIA1	PPFIBP1	PPP1R15A	PREB	PRKAG2	PROCR	PRPS1	PRPS2	PRPSAP1	PSAP	PSAT1	PSPH	PTPRF	PTPRS	PXN	QDPR	RAB10	RAB11FIP2	RAB1B	RAB35	RAB9A	RABEPK	RABGGTB	RB1CC1	RECQL	RHOBTB3	RPE	RPIA	S100A4	S100A6	SAR1A	SAR1B	SCARB1	SCP2	SDC1	SDC4	SEC13	SEC22C	SEPHS1	SERPINE2	SIRT7	SLC10A3	SLC25A3	SLC26A2	SLC3A2	SLC7A5	SNAP47	SNUPN	SNX12	SNX2	SNX6	SOD2	SPG7	SPHK1	SPTAN1	SSBP1	STX2	SULT2B1	SUN1	SYNE1	SYNM	SYT1	TAF1D	TALDO1	TBC1D20	TCOF1	TES	TFG	TFPI	TFRC	THBD	THOC2	THOC3	THOC6	TIGAR	TKT	TLN1	TMED1	TMED10	TMED4	TMED7	TMEM106B	TMEM70	TNFAIP1	TNFRSF10B	TNNT1	TPD52L1	TPD52L2	TPM1	TPM2	TPR	TRAPPC10	TRAPPC4	TRIB3	TRIM44	TRIM59	TRIOBP	TRIP6	TXNDC12	TXNRD2	TYMP	UBL4A	UBTF	UQCRC2	USP8	VAMP2	VAMP3	VASP	VCL	VPS25	VPS26A	VPS28	VPS4A	VTA1	WIPI2	YBEY	YKT6	YME1L1	ZC3H18	ZNRD1	ZYX
ABI2	ABL2	ARPC1B	ARPC3	CYBA	DOCK5	EXOC7	GNAI2	GNAI3	GNB5	GNG12	IGFBP7	LRPAP1	MMP24	MYCBP2	NCKAP1	PAK2	PAK4	PARD6A	RAC3	RALA	RALB	RGS14	RGS19	RHOV	RIC8A	S1PR3	TIMP2	TNFAIP2	WASF2
ERGIC2	HMGA1	HMGA2	IGF2BP1	LPP	LRPPRC	LTBP3	LTBP4	MEPCE	METTL16	SCO1	SMAD2	SURF1	TACO1	TGFB2	UBN1	WTAP	YTHDC1	YTHDF1	YTHDF2
ACTR1A	ACTR1B	C11orf1	C9orf116	CAPZA1	CFAP20	DCTN2	DYNC1H1	DYNC1I2	DYNC1LI2	DYNLT3	RILP	TCTEX1D2	TUBA4A	TUBB4B	TUBB6
AKAP9	CDK5RAP2	DIAPH1	PKN1	PKN2	PPP1CB	PPP1R10	PPP1R12A	RHOB	RHOD	RHPN2	RND3	ROCK1	ROCK2
ADAM9	ASPSCR1	CHAMP1	DERL1	LACTB	MAD2L2	NPLOC4	NSFL1C	PRCC	RNF5	UBE2J1	UBXN2A	UBXN4
ACIN1	HTATSF1	LUC7L	NKTR	PNISR	RBM25	SREK1	SRPK1	SRPK2	SRSF11	SRSF6	SRSF8
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	PYGB	PYGL	ST6GAL2	UAP1	UGP2
ARID4B	KDM5A	NCOR2	NR4A1	PHF23	SAP30BP	SAP30L	TBL1X	TBL1XR1
COMMD1	COMMD10	COMMD2	COMMD3	COMMD5	COMMD9	CREB3	KLHDC2
KIAA0930	MDM4	NDFIP1	NEDD4L	SFN	TXNDC9	WBP2
ACOT7	HACD1	HACD2	HACD3	TECR	THEM4
ALDH1A1	CD24	DHRS3	DHRS4	RDH10	RDH11
ANXA5	CCK	GAL	GIP	NLN	NTS
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
BASP1	MARCKS	MARCKSL1	PRKCSH	SEC63	STRADB
BATF3	FOSL1	FOSL2	JUNB	JUND	MAP3K11
COL4A2	COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
KRTCAP2	RPN2	SSR1	STT3B	TRAM1	TUSC3
ATN1	ATXN2	FAM98A	NUFIP2	PABPC4
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	ATP6V1E2
C19orf12	FA2H	PANK2	PANK3	PPCS
IGBP1	MID1	PPP4R2	PPP4R3A	TIPRL
NFKBIA	NFKBIB	NKIRAS2	RELB	UBE2D4
ALG3	ALG5	DPM1	DPM3
ARF4	ARF5	ARFIP2	SCOC
B4GALNT1	GALNT1	GALNT2	ST3GAL5
B9D1	B9D2	CEP290	TMEM107
C11orf74	IFT27	IFT81	TRAF3IP1
C1D	EXOSC1	EXOSC3	ZCCHC8
CHTF8	PDS5A	SLF2	SMC5
CNP	CTDSP1	MBP	REST
CNTN1	NRCAM	NRP2	SEMA3C
CXCL1	CXCL2	CXCL3	CXCL5
FRMD6	SAV1	WTIP	WWC1
GLUD1	IDH1	IDH3A	NIT2
GRAMD1B	NPC1	NPC2	STARD3NL
HES6	MSC	TLE1	TLE4
MLPH	RAB22A	RAB27B	RAB31
NEK6	RPUSD1	RPUSD3	TRUB2
ODC1	PMF1	SAT1	SMOX
PSMB4	PSMD7	PSME1	PSME2
AASDHPPT	HAT1	WDR73
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AGFG1	EPN2	FCHO1
AP1M2	AP1S2	CLINT1
APOO	CHCHD6	MTX1
APTX	COQ5	COQ9
ARL6IP1	ATL3	RTN3
ASXL1	CBX6	KIF3B
BCAT1	BCAT2	SDSL
BLVRA	BLVRB	HMOX2
BOLA1	CIAPIN1	NUBP1
CA12	CA8	CYP24A1
CEBPD	CELF1	MBNL1
CHD3	GATAD2A	MTA1
CLCF1	IL11	IL6ST
COL7A1	ITGA3	LAMC2
COPS7A	COPS7B	GPS1
DPYSL2	DPYSL3	FES
EFNA1	EFNA5	EPHA2
EIF2AK4	EIF2B1	EIF2B4
EIF4G2	MKNK1	MKNK2
ELAC2	ENDOG	EXOG
FST	FSTL3	INHBB
HOXB13	TEAD1	TEAD4
KRIT1	PDCD10	STRN3
KRT18	KRT19	KRT8
MLX	MLXIP	MXD4
MTFMT	MTHFD2	MTHFD2L
NF1	RRAS2	SPRED2
SDHAF1	SDHAF2	SDHAF3
ALDH3A1	ALDH3B1
ASH1L	USP34
ATF5	CDC34
BAZ1A	HMGXB4
BBIP1	PCM1
CACNG6	CACNG8
CAPRIN1	USP10
CASK	EPS8
CAV2	PRNP
CBR3	PTGES
CCT5	CCT7
CD55	CD59
CKB	GAMT
CLU	PCYOX1
CNPY3	UNC93B1
CRELD2	MANF
DIO2	SECISBP2
DMWD	USP12
DNAJC4	VEGFB
DPF2	SMARCD1
ESRRA	SLC7A1
FLII	LRRFIP2
FLOT2	STOM
FNIP1	RRAGA
GABRA5	GABRB3
GTPBP4	MRTO4
HAUS1	HAUS2
HIPK2	SIAH2
HYAL2	SPAG9
JAK1	SOCS3
KCTD15	TMEM18
LCMT1	PPME1
MAP4	MARK3
MAPK12	MAPK9
MAPK6	MAPKAPK5
MBD4	TDG
MED31	TAF7
MUC5AC	TFF1
NAA15	NAA60
NR2F2	RERE
PDE6D	UNC119
PHF3	PTP4A1
PPP1R11	PPP1R7
RAB5B	RIN2
RAD50	RFC1
RBM42	SNRNP27
RNASEH2A	RNASEH2B
RNF8	UBE2E2
RRBP1	SYNJ2BP
SETD7	SMYD2
STMN1	UHMK1
TACC1	TACC2
TDP2	TOP2B
TGM2	TOR1AIP2
THAP4	THAP7
TNIP1	TNIP2
TSN	TSNAX
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AATF
ABCE1
ABCF1
ABCF2
ABT1
ACBD3
ACD
ACO2
ACTB
ACTG1
ACTL6A
ACTN4
ACTR3
ACYP1
ADA
ADAM10
ADAM17
ADAR
ADH5
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AGO2
AGR2
AGRN
AHI1
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AJUBA
AK3
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1B1
ALDH2
ALG8
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA7
AP1G1
AP2A2
APLP2
APOC1
APOE
APP
AR
ARHGAP11A
ARHGAP35
ARHGAP5
ARID1A
ARL1
ARNTL2
ASAP2
ASCC3
ASF1A
ASF1B
ASPM
ATAD2
ATAD5
ATF7
ATIC
ATMIN
ATP6AP2
ATP6V1E1
ATRX
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
BABAM1
BAG2
BAG3
BAIAP2L1
BANP
BAX
BAZ2A
BCAM
BCAR1
BCCIP
BCL3
BCLAF1
BCS1L
BDNF
BECN1
BHLHE40
BIN1
BIRC3
BIRC5
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOP1
BRCA1
BRD2
BRD3
BRIX1
BROX
BTBD6
BUB3
C16orf74
C1orf131
C6orf62
C9orf78
CALM2
CALR
CALU
CAND1
CANT1
CASC3
CAV1
CCAR1
CCDC12
CCDC47
CCDC88A
CCDC92
CCL2
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCND3
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT8
CCZ1
CD2BP2
CD44
CD81
CD9
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP3
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK6
CDKN1A
CDKN2C
CDT1
CEBPB
CEBPZ
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP55
CERS2
CFDP1
CHAF1A
CHD1
CHD4
CHEK1
CHML
CHMP1A
CHMP1B
CHMP5
CHORDC1
CIAO1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLIP1
CLSPN
CMPK1
CNOT1
CNOT2
CNOT4
COIL
COL18A1
COPS5
COPS6
COPS8
COX16
CPS1
CPSF6
CREB1
CRTC3
CRYZ
CS
CSAG1
CSE1L
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTCF
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSA
CTSC
CTSD
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL8
CYB5B
CYB5R3
CYP2S1
DAAM1
DAB2
DAG1
DAP
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCDC2
DCTN1
DCTN6
DDB1
DDB2
DDIT4
DDOST
DDX10
DDX17
DDX18
DDX23
DDX24
DDX27
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL2
DESI1
DGKD
DHCR7
DHPS
DHX15
DHX33
DHX9
DIMT1
DLC1
DLD
DLGAP5
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC8
DNTTIP2
DPCD
DPH2
DR1
DRAM1
DRG1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1LI1
DYNLL1
DYNLL2
DYRK4
E2F1
E2F4
E2F6
EAPP
ECI2
ECT2
EEA1
EEF1A1
EEF2KMT
EFTUD2
EGFR
EGLN1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF5A
EIF5AL1
ELAVL1
ELOVL1
ELOVL5
EMC3
ENO1
ENTPD6
EPB41L2
EPC1
EPS8L2
ERAL1
ERN1
ERRFI1
ERV3-1
ESF1
ETV4
EVL
EWSR1
EXOSC2
EXOSC6
EXOSC7
EXOSC8
F2RL1
FAAP24
FADS2
FAF2
FAHD1
FAM161A
FAM3C
FAM50A
FAM83D
FANCD2
FANCI
FARSA
FARSB
FBN2
FBRSL1
FBXL15
FBXO22
FBXO7
FBXW11
FDXR
FEN1
FGA
FGF2
FGFR1
FGFR1OP2
FH
FHL1
FHL2
FILIP1
FKBP11
FKBP1B
FKBP3
FMNL1
FN1
FOXA2
FRA10AC1
FTSJ1
FTSJ3
FUBP1
FXN
FXR1
G3BP1
G3BP2
GADD45A
GADD45B
GAPDH
GAR1
GAS2L1
GATC
GCFC2
GDF15
GFER
GFRA1
GGPS1
GIGYF1
GINS1
GINS4
GIT1
GJA1
GJC1
GLIPR1
GLS
GMNN
GMPS
GNAQ
GNG11
GNL3
GNPAT
GNPNAT1
GOLGA3
GOLGB1
GOLT1B
GOPC
GOSR1
GOT1
GPAT3
GPAT4
GPX3
GREM1
GRIN2B
GRK6
GRPEL1
GRWD1
GSTO1
GTF2F1
GTF2F2
GTF2H1
GTSE1
GULP1
HADHA
HAUS6
HCCS
HCFC1
HDAC1
HDAC2
HDAC3
HECW1
HERC2
HERPUD1
HES1
HEXA
HEXB
HEXIM1
HEXIM2
HIF1A
HIP1
HJURP
HLA-A
HM13
HMG20B
HMGB2
HMGCS1
HMMR
HMOX1
HNRNPDL
HNRNPH1
HSD17B12
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA2
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HUWE1
IARS2
IBTK
ICE1
ICE2
ICMT
IDH2
IDH3B
IDH3G
IFNGR2
IFRD1
IFT43
IFT57
IGF1R
IGF2
IGFBP3
IK
IKBIP
IL13RA1
IL18
IL32
ILF2
ILKAP
IMMT
IMPDH1
IMPDH2
INA
INF2
ING2
INO80C
INO80E
IQGAP1
IRF1
IRF3
IRS1
IRS2
ISG15
ISG20
ITFG2
ITGA2
ITGAV
ITGB1
ITGB3BP
ITGB4
ITGB5
ITM2B
ITSN2
IVNS1ABP
JADE1
JAG1
JMJD6
JUN
JUP
KCTD1
KCTD9
KDSR
KHSRP
KIF14
KIF18A
KIF20B
KIF21A
KIF22
KIF23
KIF2A
KIF4A
KLF5
KLF6
KLHDC3
KLHL42
KLHL5
KMT2A
KMT2B
KMT2E
KMT5A
KNSTRN
KPNA1
KPNA6
KRAS
KRR1
KYNU
L3HYPDH
LAMA5
LAMP1
LARP4
LARP7
LAS1L
LAYN
LDHA
LDLR
LEO1
LETM1
LGALS3
LGALS3BP
LGR4
LIMA1
LIMS1
LMO4
LOXL2
LRP10
LSM6
LYAR
MACF1
MAD2L1
MAGEF1
MAGOH
MAP2K3
MAP2K4
MAP3K14
MAP3K2
MAP3K8
MAP4K4
MAP7
MAPKAPK3
MAPRE1
MAVS
MAX
MBD2
MBD3
MCM10
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCMBP
MCTS1
MCU
MDK
MDM2
MEAF6
MECP2
MED1
MED11
MED13L
MED19
MED21
MED28
MED29
MED8
MEIS2
MELK
MET
METTL21A
MFGE8
MFSD10
MGST2
MICU1
MIF
MIF4GD
MIS18BP1
MKI67
MLLT10
MNAT1
MND1
MOB4
MPDU1
MPHOSPH10
MPHOSPH6
MPRIP
MPV17
MPZL1
MRPL1
MRPL10
MRPL16
MRPL2
MRPL35
MRPL45
MRPL46
MRPL48
MRPL49
MRPS18A
MRPS30
MRPS9
MRRF
MSH6
MSI2
MSL1
MSL3
MSX1
MT-ATP6
MT-ND1
MT-ND6
MTHFD1
MTIF3
MTRF1L
MTX2
MVB12A
MYC
MYL6
MYO10
MYO1B
MZT1
NAE1
NASP
NBL1
NBR1
NCAPD2
NCBP2
NCBP3
NCL
NCLN
NCOA3
NDRG1
NDUFA7
NDUFAF6
NDUFS2
NECAP2
NEDD9
NEK2
NELFB
NEMF
NF2
NFE2L2
NFKB2
NFYB
NGDN
NGRN
NIFK
NIP7
NKAP
NMRAL1
NOC2L
NOC3L
NOC4L
NOL10
NOL11
NOL4L
NOL8
NOLC1
NOM1
NOP14
NOP2
NOP58
NPAS2
NPM1
NPRL3
NQO1
NR0B1
NR3C1
NRBF2
NRIP1
NRP1
NSD1
NSL1
NSMCE1
NT5E
NUAK1
NUDC
NUDT15
NUDT2
NUDT21
NUDT8
NUF2
NUMBL
NUP37
NUPR1
NUSAP1
NXN
OAS1
OCIAD1
OPN3
ORC6
OS9
PA2G4
PACS1
PAF1
PAK1IP1
PARD3
PARD6B
PBDC1
PBK
PCGF2
PCNA
PDCD7
PDCL3
PDE8A
PDGFA
PDHA1
PDHB
PDIA3
PDIA4
PDK4
PDLIM1
PDRG1
PDXK
PEF1
PELO
PELP1
PER2
PES1
PEX10
PEX2
PFAS
PFN1
PGK1
PGM2L1
PHAX
PHC2
PHF20
PHF20L1
PHF6
PHIP
PHKG1
PHLDA1
PHLPP2
PIF1
PIH1D1
PIR
PITPNA
PKM
PLEK2
PLIN2
PLK1
PLK2
PMAIP1
PMEPA1
PMP22
PMPCA
PMPCB
PNO1
PNPT1
PNRC2
POLR2A
POLR2D
POLR2H
POR
PPAN
PPARG
PPID
PPIE
PPIF
PPIG
PPIH
PPIL1
PPM1B
PPP1R14A
PPP1R16A
PPP2CA
PPP2CB
PPP2R1A
PPP2R2A
PPP2R3C
PPP2R5C
PPP2R5E
PPP3CA
PPP4R3B
PPP5C
PPP6R1
PRAME
PRC1
PRDX1
PRDX4
PRIM1
PRKCA
PRKRIP1
PRMT1
PRMT5
PRPF19
PRPF38B
PRPF4
PRPF4B
PRPF6
PRPF8
PRSS3
PSIP1
PSMA3
PSMA4
PSMB1
PSMB3
PSMB6
PSMB9
PSMC1
PSMC2
PSMC3
PSMC3IP
PSMC4
PSMC6
PSMD1
PSMD10
PSMD12
PSMD13
PSMD2
PSMD3
PSMD6
PSMD9
PSMG1
PSMG2
PSMG4
PTCD3
PTDSS1
PTEN
PTGS2
PTK2
PTMA
PTPN1
PTPN12
PTPN18
PTPN2
PTPRA
PTPRJ
PTTG1
PTTG1IP
PUM3
PURA
PVR
PYCARD
PYM1
QKI
RAB11B
RAB14
RAB21
RAB5A
RAB6A
RAB8A
RACGAP1
RAD1
RAD21
RAD51D
RAD9A
RAE1
RAF1
RARG
RBBP4
RBBP5
RBBP6
RBBP7
RBBP8
RBCK1
RBFA
RBM14
RBM23
RBM28
RBMX2
RBPMS
RCC1
RCC2
RDX
REL
REPIN1
REXO4
RFC2
RFC3
RFC4
RGCC
RGS2
RHOQ
RICTOR
RIF1
RMI2
RNF11
RNF135
RNF40
RNMT
RP9
RPA1
RPA2
RPF2
RPL22L1
RPL26
RPP30
RPP38
RPS27
RPS27L
RPS4X
RPS4Y1
RPS6KA3
RPS6KA4
RPS7
RRM1
RRM2
RRP1
RRP15
RRP1B
RRP36
RRP9
RSAD1
RSF1
RSPO3
RSRC1
RSRC2
RTCA
RTCB
RUVBL1
S100A2
SAMD4B
SBDS
SCAMP3
SCD
SCNM1
SCO2
SCRIB
SDCBP
SDF2
SDHD
SEC61A1
SENP6
SERPINE1
SERTAD3
SET
SF3B1
SF3B3
SF3B4
SGTA
SH2D4A
SH3BGRL
SH3GLB1
SH3KBP1
SHARPIN
SHB
SHMT2
SKAP2
SKIL
SLBP
SLC16A3
SLC20A1
SLC25A13
SLC25A4
SLC25A6
SLC2A1
SLC2A3
SLC40A1
SLC9A3R1
SLC9A3R2
SLF1
SLK
SLU7
SMARCA1
SMARCA5
SMARCB1
SMARCC1
SMARCC2
SMARCD2
SMARCE1
SMC1A
SMC2
SMC4
SMC6
SMG1
SMKR1
SNRNP200
SNRNP40
SNW1
SNX8
SOCS2
SOCS6
SON
SOX2
SOX4
SOX9
SPC25
SPDL1
SPECC1
SPP1
SQLE
SRC
SREBF1
SRGAP1
SRGN
SRP68
SRP72
SRRT
SRSF3
SRSF4
SSB
SSBP4
SSH2
STAG2
STAMBP
STAMBPL1
STAT1
STAT3
