# Observed cut height: 0.0027999433
# Observed size of largest cluster at observed cut height: 237
# Expected size of largest cluster at observed cut height: 114.7
# Observed maximum ratio statistic: 2.066
# Expected maximum ratio statistic: 1.713
# p-value: 0.2
# Clusters:
ABI2	ABL2	ACER3	AGTRAP	AHNAK	AHNAK2	AKAP9	ANXA1	ARCN1	AREG	ARF4	ARF5	ARFIP2	ARHGAP5	ARL1	ARPC1B	ASAH1	ATF7	ATG12	ATG5	BATF3	BBC3	BCAR1	BIRC3	BNIP3L	CACYBP	CAMLG	CAPN1	CDC42EP1	CDC42EP3	CDC42EP4	CDK5RAP2	CERS2	CFLAR	CHML	CHMP1A	CHMP2B	CHMP5	COL7A1	COMMD1	COMMD10	COMMD2	COMMD5	COPZ2	CPLX2	CREB3	CSNK1D	CTSB	CTSC	CTSL	CYBA	DDIT3	DIAPH1	DNM1L	DOCK5	E2F6	EHBP1	EHD1	EHD2	ELOVL1	ENAH	EREG	ERO1A	EXOC7	EZR	FADD	FAM3C	FAT1	FBLIM1	FBRSL1	FBXO22	FERMT1	FILIP1	FJX1	FLNA	FNIP1	FOSL1	FOSL2	FSCN1	FUNDC1	GABPB1	GCC2	GNAI2	GNAI3	GNB5	GNG11	GNG12	GOPC	GOSR2	HGS	HLA-A	IL32	ILK	ILKAP	ITFG2	ITGA3	JUNB	JUND	KDSR	KEAP1	KIAA0930	KIF5B	KLHDC2	KLHDC3	LAMC2	LAMP1	LETM1	LIMS1	LMAN1	MAFK	MAP1B	MAP2K4	MAP3K11	MCL1	MET	MICU1	MLPH	MVB12A	MYH9	MYOF	NCKAP1	NEIL2	NFE2L1	NFKBIA	NFKBIB	NKIRAS2	NUP62	OPTN	PAK4	PALLD	PARD3	PARD6A	PDIA3	PEF1	PGAM5	PITPNC1	PKN1	PKN2	PLAU	PLAUR	PLIN3	PNKP	PPP1CB	PPP1R10	PPP1R11	PPP1R12A	PPP1R15A	PPP1R7	PRAME	PREB	PSAP	PTK2	PTP4A1	PTPRJ	PXN	RAB10	RAB11B	RAB11FIP2	RAB1B	RAB22A	RAB27B	RAB31	RAB35	RAB9A	RABEPK	RABGGTB	RAC3	RALA	RALB	RB1CC1	REL	RELB	RGS19	RHOB	RHOBTB3	RHOD	RHOQ	RHPN2	RIC8A	RND3	ROCK1	RPP30	RRAGA	S100A4	S100A6	SAR1A	SAR1B	SCOC	SEC13	SEC22C	SERPINE2	SFN	SH3KBP1	SHARPIN	SLC10A3	SNX12	SNX2	SNX6	STX2	SYNM	SYT1	TANK	TBC1D20	TES	TFG	TLN1	TMED1	TMED10	TMED4	TMEM106B	TNFAIP2	TNIP1	TNIP2	TPD52L1	TPD52L2	TPR	TRADD	TRAPPC10	TRIB3	TRIM44	TSG101	UBE2D4	UBL4A	VAMP3	VAMP8	VASP	VCL	VPS26A	VPS28	VPS35	VPS4A	VTA1	WASF2	WDR1	YAF2	YKT6	ZYX
ACAA2	ACADVL	ACAT2	ADPGK	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1B1	ALDOA	APOBEC3C	B4GALT1	B4GALT2	B4GALT4	CDA	CDYL	CES1	CES2	CMPK1	CPS1	CYP1B1	DERA	DHCR24	DHCR7	ECH1	ECHDC1	EPHX1	ESD	ETFB	FDFT1	FNTA	FOXC1	G6PC3	GALE	GALK1	GGCX	GLRX	GLS	GLUD1	GNPDA1	GNPNAT1	GPX2	GPX8	GSTO1	HADHB	HAGH	HOXB6	HOXB8	HOXB9	IDH1	IDH2	IDI1	INSIG1	LYRM1	MEIS2	MGST1	MGST2	MVD	MVK	NUS1	PBX1	PFKFB3	PFKP	PGM2L1	PYGB	PYGL	QDPR	SCP2	SOD2	ST6GAL2	SULT2B1	TALDO1	TIGAR	TKT	TXNRD2	TYMP	UAP1	UCK2	VKORC1L1	YBEY
AFG3L2	ATPAF1	ECSIT	FAHD1	LONP1	NDUFA5	NDUFA9	NDUFAF4	NDUFAF6	NDUFB5	OCIAD1	PMPCB	SDHAF1	SDHAF2	SDHAF3	SDHD	SPG7	TIMMDC1	TMEM70	TRIM59	YME1L1
AGPAT1	AGPAT5	ALG3	ALG5	ALG8	BAIAP2L1	CDIPT	CDS2	DPM1	FLAD1	IMPAD1	MPDU1	MTFMT	MTHFD2	PAPSS2	PIGH	PLCD3	PLPP5	PSPH	SHMT2	SLC26A2
BCS1L	CPSF6	CSTF3	LRPPRC	METTL16	SCO1	SURF1	UBN1	WTAP	YTHDC1	YTHDF1
ACIN1	NKTR	SON	SREK1	SRPK1	SRPK2	SRSF11	SRSF4	SRSF6	SRSF8
C12orf65	DAP3	ERAL1	MRPL47	MRPL50	MRPS18A	MRPS27	MTERF4	MTIF3	RBFA
COL18A1	DR1	GIT1	GPC1	GRK6	LRFN4	PPFIA1	PPFIBP1	PTPRS	TBPL1
AIFM1	ELAC2	ENDOG	EXOG	TRMT10C	TRMT6	TRMT61A	WDR4
AHI1	B9D1	B9D2	PCM1	RAB8A	TMEM107	TMEM237
C11orf74	HIP1	IFT27	IFT43	IFT57	IFT81	TRAF3IP1
GPN1	GTF3C2	PDRG1	PIH1D1	POLR3D	POLR3G	POLR3GL
AGFG1	BIN1	DAB2	EPN2	FCHO1	ITSN2
AJUBA	FRMD6	NF2	SAV1	WTIP	WWC1
ALDH1A1	CD24	DHRS3	DHRS4	RDH10	RDH11
ASPSCR1	DERL1	LACTB	NPLOC4	PRCC	UBE2J1
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
CSAG1	NSMCE1	SLF1	SLF2	SMC5	SMC6
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
ACOT7	HACD1	HACD3	HSD17B12	TECR
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	TMEM199
ATXN2	FXR1	G3BP1	NUFIP2	PURA
C11orf1	C9orf116	CFAP20	TUBA4A	TUBB4B
C19orf12	FA2H	PANK2	PANK3	PPCS
CD3EAP	TAF1D	TCOF1	UBTF	ZNRD1
COL4A2	COL5A2	FKBP10	PLOD2	SERPINH1
DDX39A	NCBP3	THOC2	THOC3	THOC6
KRIT1	STK25	STRN3	TAOK1	TAOK3
ACTR1A	ACTR1B	DCTN6	DYNC1LI2
APOO	CHCHD6	IMMT	MTX1
APTX	COQ5	COQ9	FXN
B4GALNT1	GALNT2	HEXA	ST3GAL5
BOLA1	CIAO1	CIAPIN1	NUBP1
C1D	EXOSC3	EXOSC6	PNPT1
CD47	PROCR	SCARB1	TFPI
CDCA7L	PSIP1	RAD1	SLC20A1
CNP	CTDSP1	MBP	REST
CSE1L	KPNA3	KPNA6	RCC1
DDOST	KRTCAP2	STT3B	TUSC3
GADD45A	MBD4	TDG	UNG
GRAMD1B	NPC1	NPC2	STARD3NL
LMNA	LMNB2	SUN1	SYNE1
PDLIM5	PDLIM7	TNNT1	TPM2
AASDHPPT	HAT1	WDR73
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AFMID	KYNU	ME1
AP1M2	AP1S2	CLINT1
ARL6IP1	ATL3	RTN3
BLVRA	BLVRB	HCCS
CCL2	CXCL2	CXCL5
CTBP1	CTBP2	KLF3
CYB5B	CYB5R3	POR
FST	FSTL3	INHBB
GATAD2A	MBD2	MTA1
HES6	MSC	TLE1
HEXIM1	HEXIM2	LARP7
HMGA1	HMGA2	LPP
ICE1	NELFB	WDR61
IGBP1	MID1	TIPRL
KRT18	KRT19	KRT8
MBNL1	QKI	RBPMS
MLX	MLXIP	MXD4
NEK6	RPUSD1	RPUSD3
ODC1	SAT1	SMOX
PRKCSH	SEC63	STRADB
PSMD7	PSME1	PSME2
TSPAN14	TSPAN15	TSPAN17
ADIPOR2	APPL1
AGR2	DAG1
ALDH3A1	ALDH3B1
ANKRD28	PPP6R1
ASH1L	USP34
ATF5	CDC34
BAZ1A	HMGXB4
CA12	CA8
CACNG6	CACNG8
CBR3	PTGES
CD55	CD59
CKB	GAMT
CLCF1	IL6ST
CNPY3	UNC93B1
COPS7A	COPS8
COX16	TMEM109
CRELD2	MANF
DDX10	RRP36
DHX33	PYCARD
DMWD	USP12
DNAJA1	HSPA2
DPF2	SMARCD1
DRG1	TSN
EFNA1	EPHA2
EPS8	EPS8L2
ESRRA	SLC7A1
FARSB	IARS2
FLOT2	STOM
FRA10AC1	ZNF32
GABRA5	GABRB3
GAL	NLN
HAUS1	HAUS2
HECW1	NDFIP1
HIPK2	SIAH2
HYAL2	SPAG9
IMPDH1	RP9
KANK1	PHLDB2
KDM5A	PHF23
LCMT1	PPME1
LGR4	RSPO3
MAP4	MARK3
MAPK12	MAPK9
MAPK6	MAPKAPK5
MUC5AC	TFF1
NAA15	NAA60
NEMF	TCF25
NFYB	REPIN1
NR2F2	RERE
NRP2	SEMA3C
PDE6D	UNC119
PEA15	RPS6KA3
PHAX	SNUPN
PPP4R2	PPP4R3A
PYM1	UPF3A
RAB5B	RIN2
RNF11	STAMBP
RTCB	ZBTB8OS
SLC3A2	SLC7A5
SMC1A	SMC2
STMN1	UHMK1
TGM2	TOR1AIP2
THAP11	THAP4
TNRC6A	TNRC6B
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AATF
ABCE1
ABCF1
ABCF2
ABT1
ACACA
ACAT1
ACBD3
ACD
ACO2
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR3
ACYP1
ADA
ADAM10
ADAM17
ADAM9
ADAR
ADH5
ADK
ADNP
ADSL
AFAP1
AFF4
AGO2
AGRN
AIFM2
AIMP1
AIMP2
AIP
AK3
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH2
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA5
ANXA7
AP1G1
AP2A2
APLP2
APOC1
APOE
APP
AR
ARHGAP11A
ARHGAP35
ARID1A
ARID4B
ARL8B
ARNTL2
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATIC
ATMIN
ATN1
ATP6AP2
ATP6V1E1
ATP6V1E2
ATRX
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
B4GALT3
BABAM1
BAG2
BAG3
BANP
BASP1
BAX
BAZ2A
BBIP1
BCAM
BCAT1
BCAT2
BCCIP
BCL2L1
BCL3
BCLAF1
BDNF
BDP1
BECN1
BET1
BHLHE40
BIRC2
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BOP1
BRCA1
BRD2
BRD3
BRIX1
BROX
BTBD6
BUB3
C16orf74
C1orf131
C6orf62
C9orf78
CALM2
CALR
CALU
CAND1
CANT1
CAPRIN1
CAPZA1
CASC3
CASK
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC47
CCDC88A
CCDC92
CCK
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCND3
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD2BP2
CD44
CD81
CD9
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK6
CDKN1A
CDKN2C
CDT1
CEBPB
CEBPD
CEBPZ
CELF1
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP290
CEP55
CETN2
CFDP1
CHAC2
CHAF1A
CHAMP1
CHD1
CHD3
CHD4
CHEK1
CHMP1B
CHORDC1
CHTF8
CHURC1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLDN1
CLIP1
CLSPN
CLU
CNOT1
CNOT2
CNOT4
CNTN1
COIL
COLGALT1
COMMD3
COMMD9
COPS5
COPS6
COPS7B
CREB1
CRTC3
CRYZ
CS
CSF1
CSNK1E
CSNK2A1
CSNK2A2
CTCF
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTPS1
CTSA
CTSD
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL1
CXCL3
CXCL8
CYP24A1
CYP2S1
DAAM1
DAP
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCDC2
DCTD
DCTN1
DCTN2
DDB1
DDB2
DDIT4
DDX17
DDX18
DDX23
DDX24
DDX27
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERL2
DESI1
DGKD
DGKE
DHPS
DHX15
DHX9
DIMT1
DIO2
DLC1
DLD
DLGAP5
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNAJC4
DNAJC8
DNTTIP2
DPCD
DPH2
DPM3
DRAM1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1I2
DYNC1LI1
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
EAPP
ECI2
ECT2
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFNA5
EFTUD2
EGFR
EGLN1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2AK4
EIF2B1
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAVL1
ELOVL5
EMC3
ENO1
ENTPD6
EPAS1
EPB41L1
EPB41L2
EPC1
ERGIC2
ERLIN2
ERN1
ERRFI1
ERV3-1
ESAM
ESF1
ETV4
EVL
EWSR1
EXOSC1
EXOSC2
EXOSC7
EXOSC8
F2RL1
FAAP24
FADS2
FAF2
FAM161A
FAM50A
FAM83D
FAM98A
FANCD2
FANCI
FARSA
FBN2
FBXL15
FBXO7
FBXW11
FDPS
FDXR
FEN1
FGA
FGF2
FGFR1
FGFR1OP2
FH
FHL1
FHL2
FKBP11
FKBP1B
FKBP3
FLII
FMNL1
FN1
FOXA2
FTSJ1
FTSJ3
FUBP1
G3BP2
GADD45B
GALNT1
GAN
GAPDH
GAR1
GAS2L1
GATC
GCFC2
GDF15
GFER
GFRA1
GGPS1
GIGYF1
GINS1
GINS4
GIP
GJA1
GJC1
GLIPR1
GMNN
GMPS
GNAQ
GNL3
GNPAT
GOLGA3
GOLGB1
GOLT1B
GORASP2
GOSR1
GOT1
GPAT3
GPAT4
GPN3
GPS1
GPX3
GREM1
GRIN2B
GRN
GRPEL1
GRWD1
GSR
GTF2F1
GTF2F2
GTF2H1
GTPBP4
GTSE1
GULP1
HACD2
HADHA
HAUS6
HCFC1
HDAC1
HDAC2
HDAC3
HERC2
HERPUD1
HES1
HEXB
HIF1A
HJURP
HM13
HMG20B
HMGB2
HMGCS1
HMMR
HMOX1
HMOX2
HNRNPDL
HNRNPH1
HOXB13
HPRT1
HSP90AA1
HSP90AB1
HSP90B1
HSPA14
HSPA1A
HSPA4
HSPA5
HSPA8
HSPA9
HSPD1
HSPG2
HSPH1
HTATSF1
HUWE1
IBTK
ICE2
ICMT
IDH3A
IDH3B
IDH3G
IFNGR2
IFRD1
IGF1R
IGF2
IGF2BP1
IGFBP3
IGFBP7
IK
IKBIP
IL11
IL13RA1
IL18
ILF2
IMPDH2
INA
INF2
ING2
INO80C
INO80E
IPO5
IPO9
