# Observed cut height: 0.006032987
# Observed size of largest cluster at observed cut height: 59
# Expected size of largest cluster at observed cut height: 17.4
# Observed maximum ratio statistic: 3.391
# Expected maximum ratio statistic: 1.682
# p-value: 0.0
# Clusters:
ACACA	ACADVL	ACAT1	ACAT2	ACOT7	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	ECH1	ELOVL5	EPHX1	FADS2	FDFT1	FDPS	FOXC1	GGCX	GLRX	GPX2	GSR	HACD1	HACD2	HACD3	HADHA	HADHB	HCCS	HMGCS1	HMOX1	HOXB8	HOXB9	HSD17B12	INSIG1	LBR	LMNB2	MAFK	MEIS2	MGLL	MGST2	MSMO1	NFE2L1	NUS1	PBX1	POR	PTDSS1	SCD	SCP2	SEPHS1	SQLE	SULT2B1	TECR	THEM4	TXNRD1	TXNRD2	VKORC1L1
GOSR1	LETM1	MCU	MICU1	RAB11B	RAB11FIP2	RAB1B	RAB6A	TBC1D20	TRAPPC10	TRAPPC4	TRAPPC6A	USO1	VAMP3	VAMP8	VPS53
CHMP1A	CHMP1B	CHMP2B	TMEM106B	VPS25	VPS28	VPS4A	VTA1
ADIPOR2	NAMPT	NNMT	SIRT7	TAF1D	TCOF1	UBTF
AGPAT1	GNPAT	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
AHI1	B9D1	BBIP1	CEP290	PCM1	TMEM107	TMEM237
AHNAK	CAPN1	EHBP1	EHD2	MYOF	RAB10	RAB14
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
FBXO7	SERPINE2	SNX12	SNX6	SNX8	VPS26A	VPS35
ARHGAP35	ARHGAP5	RHOB	RHPN2	RND3	ROCK2
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
BATF3	FOSL1	FOSL2	JUND	MAP3K11	SFN
ACBD3	DRG1	GOLGA3	TSN	TSNAX
ASPSCR1	LACTB	NSFL1C	UBXN2A	UBXN4
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	ATP6V1E2
B4GALNT1	GALNT1	HEXA	HEXB	ST3GAL5
B4GALT1	B4GALT2	B4GALT3	B4GALT4	ST6GAL2
BCS1L	LRPPRC	SCO1	SCO2	SURF1
CSAG1	MAGEF1	NSMCE1	SLF1	SMC5
KCTD1	KCTD15	TFAP2A	TFAP2C	TMEM18
ADAM10	TSPAN14	TSPAN15	TSPAN17
AGR2	DAG1	ITGA3	LAMA5
APOO	IMMT	MPV17	MTX2
ARCN1	COPZ2	TMED10	TMED4
C11orf1	C9orf116	CFAP20	TUBB4B
C19orf12	PANK2	PANK3	PPCS
CES1	CES2	ESD	HAGH
DPYSL2	MSI2	NUMBL	ZC3H14
ETFB	FDXR	L3HYPDH	TMEM109
GAL	GIP	NLN	NTS
GNG12	PAK2	PAK4	RHOV
NRCAM	NRP1	NRP2	SEMA3C
RPE	RPIA	TALDO1	TKT
ABCC1	ABCC2	ABCG2
ACTR3	ARPC1B	WDR1
ADM	ECE2	EDN1
AFG3L2	LONP1	SPG7
AP1M2	AP1S2	CLINT1
APTX	COQ5	COQ9
ASAH1	CERS2	PSAP
ATIC	CANT1	IMPDH2
BDP1	GTF3C2	POLR3GL
BOLA1	CIAO1	NUBP1
CA12	CA8	CYP24A1
CDC42EP1	CDC42EP3	RHOQ
COLGALT1	FKBP10	PLOD2
COMMD2	COMMD3	COMMD5
CTSA	CTSD	CTSL
DDX39A	THOC2	THOC6
DHX33	IL18	PYCARD
ESRRA	NRIP1	SLC7A1
GNPDA1	GNPNAT1	UAP1
HEXIM1	LARP7	MEPCE
HMGA1	HMGA2	LPP
ICMT	KRAS	RPS6KA3
IFT27	IFT81	TRAF3IP1
IGFBP4	PAPPA	STC2
METTL16	YTHDC1	ZC3H13
MLX	MLXIP	MXD4
MPZL1	PMP22	RNMT
MTHFD1	MTHFD2	MTHFD2L
NDUFA10	NDUFA5	NDUFA9
NGRN	RPUSD3	TRUB2
ODC1	SAT1	SMOX
PGM2L1	PYGB	UGP2
PREB	SAR1A	SAR1B
RPN2	TRAM1	TUSC3
THAP11	THAP4	THAP7
AGTRAP	CAMLG
AJUBA	WTIP
ALDH3A1	ALDH3B1
APOC1	CLU
AREG	EREG
ARF4	ARF5
ARNTL2	NPAS2
ASH1L	USP34
ATL3	RTN3
AZI2	TAX1BP1
BAZ1A	RSF1
BCAT1	SDSL
CBR3	PTGES
CCAR1	DNAJC8
CCDC47	NCLN
CD55	CD59
CELF1	MBNL1
CHD3	MBD2
CKB	GAMT
CMPK1	UCK2
CNPY3	UNC93B1
CPLX2	SYT1
CPS1	GLS
CSE1L	XPOT
CTPS1	NUDT2
DCDC2	TDP2
DIO2	SECISBP2
DNAJC4	VEGFB
ECSIT	TRIM59
FSCN1	RAB35
FST	INHBB
G3BP2	USP10
GABRA5	GABRB3
GPC1	SDC1
HECW1	NDFIP1
IDH1	NIT2
IVNS1ABP	PRPSAP1
KRT19	KRT8
LGR4	RSPO3
LMO4	SSBP4
MANF	PDIA4
MBD4	TDG
MLPH	RAB27B
NCAPD2	SMC2
NEMF	TCF25
NFYB	REPIN1
NPC2	STARD3NL
NR2F2	RERE
NUAK1	USP9X
PHF3	PTP4A1
PHLDA2	SLC22A18AS
PNISR	SRSF11
PPP1R11	PPP1R7
RRBP1	SYNJ2BP
SDHAF1	SDHAF3
SEC63	STRADB
SLC3A2	SLC7A5
STMN1	UHMK1
TGM2	TOR1AIP2
TLK1	TLK2
TNNT1	TPM2
TPD52L1	TPD52L2
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABI2
ABL2
ABT1
ACAA2
ACD
ACER3
ACIN1
ACO2
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACYP1
ADA
ADAM17
ADAM9
ADAR
ADH5
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFMID
AGFG1
AGO2
AGPAT5
AGRN
AHNAK2
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AK3
AKAP12
AKAP9
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1A1
ALDH1B1
ALDH2
ALDOA
ALG3
ALG5
ALG8
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD28
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA1
ANXA2
ANXA5
ANXA7
AP1G1
AP2A2
APLP2
APOBEC3C
APOE
APP
APPL1
AR
ARFIP2
ARHGAP11A
ARID1A
ARID4B
ARL1
ARL6IP1
ARL8B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATF5
ATF7
ATG12
ATG5
ATMIN
ATP6AP2
ATP6V1E1
ATPAF1
ATRX
ATXN2L
AURKA
AURKB
AVEN
AXL
B9D2
BABAM1
BAG2
BAG3
BAIAP2L1
BANP
BASP1
BAX
BAZ2A
BBC3
BCAM
BCAR1
BCAT2
BCCIP
BCL2L1
BCL3
BCLAF1
BDNF
BECN1
BET1
BHLHE40
BIN1
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOP1
BRCA1
BRD2
BRD3
BRIX1
BROX
BTBD6
BUB3
C11orf74
C12orf65
C16orf74
C1D
C1orf131
C6orf62
C9orf78
CACNG6
CACNG8
CACYBP
CALM2
CALR
CALU
CAND1
CAPRIN1
CAPZA1
CASC3
CASK
CAV1
CAV2
CBX6
CCDC12
CCDC88A
CCDC92
CCK
CCL2
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCND3
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD24
CD2BP2
CD3EAP
CD44
CD47
CD81
CD9
CDA
CDC123
CDC20
CDC27
CDC34
CDC42
CDC42BPA
CDC42BPB
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDIPT
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
CDKN2C
CDS2
CDT1
CDYL
CEBPB
CEBPD
CEBPZ
CENPA
CENPB
CENPE
CENPF
CENPH
CENPK
CENPU
CEP55
CETN2
CFDP1
CFLAR
CHAC2
CHAF1A
CHAMP1
CHCHD6
CHD1
CHD4
CHEK1
CHML
CHMP5
CHORDC1
CHTF8
CHURC1
CIAPIN1
CINP
CITED2
CITED4
CKAP2
CKAP2L
CKAP5
CKS2
CLCF1
CLDN1
CLIP1
CLSPN
CNOT1
CNOT2
CNOT4
CNP
CNTN1
COIL
COL18A1
COL4A2
COL5A2
COL7A1
COMMD1
COMMD10
COMMD9
COPS5
COPS6
COPS7A
COPS7B
COPS8
COX16
CPSF6
CREB1
CREB3
CRELD2
CRTC3
CRYZ
CS
CSF1
CSNK1D
CSNK1E
CSNK2A1
CSNK2A2
CSTF3
CTBP1
CTBP2
CTCF
CTDSP1
CTDSP2
CTDSPL
CTNNA1
CTNNB1
CTNNBL1
CTNND1
CTSB
CTSC
CTTN
CTU1
CUL3
CUX1
CWC15
CWC25
CWC27
CXCL1
CXCL2
CXCL3
CXCL5
CXCL8
CYB5R3
CYBA
CYP2S1
DAAM1
DAB2
DAP
DAP3
DAPK1
DAXX
DBF4
DCAF13
DCAF7
DCTD
DCTN1
DCTN2
DCTN6
DDB1
DDB2
DDIT3
DDIT4
DDOST
DDX10
DDX17
DDX18
DDX23
DDX24
DDX27
DDX42
DDX52
DDX54
DDX56
DDX6
DEPDC1
DERA
DERL1
DERL2
DESI1
DGKD
DGKE
DHCR7
DHPS
DHRS3
DHRS4
DHX15
DHX9
DIAPH1
DIMT1
DLC1
DLD
DLGAP5
DMWD
DNAJA1
DNAJA2
DNAJA3
DNAJB1
DNAJB11
DNAJB9
DNAJC1
DNAJC10
DNAJC3
DNAJC30
DNM1L
DNTTIP2
DOCK5
DPCD
DPF2
DPH2
DPM1
DPM3
DPYSL3
DR1
DRAM1
DSG2
DST
DTL
DUSP1
DUSP3
DUSP4
DUSP5
DYNC1H1
DYNC1I2
DYNC1LI1
DYNC1LI2
DYNLL1
DYNLL2
DYNLT3
DYRK4
E2F1
E2F4
E2F6
EAPP
ECHDC1
ECI2
ECT2
EEA1
EEF1A1
EEF1A2
EEF2KMT
EFNA1
EFNA5
EFTUD2
EGFR
EGLN1
EHD1
EIF1
EIF1AY
EIF1B
EIF2A
EIF2AK2
EIF2AK4
EIF2B1
EIF2B4
EIF2S1
EIF2S3
EIF3D
EIF3I
EIF4A1
EIF4A2
EIF4A3
EIF4E
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF5AL1
ELAC2
ELAVL1
ELOVL1
EMC3
ENAH
ENDOG
ENO1
ENTPD6
EPAS1
EPB41L1
EPB41L2
EPC1
EPHA2
EPN2
EPS8
EPS8L2
ERAL1
ERGIC2
ERLIN2
ERN1
ERO1A
ERRFI1
ERV3-1
ESAM
ESF1
ETV4
EVL
EWSR1
EXOC7
