genes names,interactor
TP53,yes
STAT3,yes
PKM,yes
GNL3,yes
NPM1,yes
EGFR,yes
NCL,yes
IRS1,yes
TPM4,yes
NOC2L,yes
EIF2S1,yes
HMOX1,yes
POR,yes
CYB5B,yes
ACTB,yes
MYC,yes
ELAVL1,yes
XRCC6,yes
ACTG1,yes
EEF1A1,yes
CCT5,yes
CTNNB1,yes
SOX2,yes
GAPDH,yes
EEF2,yes
EIF1AY,yes
RACK1,yes
FN1,yes
PPP1R15A,yes
RRM2,yes
SOD2,yes
NDUFS2,yes
MGLL,yes
PGK1,yes
PHGDH,yes
HPRT1,yes
MT-ATP6,yes
ENO1,yes
ATP5F1A,yes
DDX56,yes
EIF4A3,yes
PHAX,yes
POLR2C,yes
EIF2AK2,yes
DHX9,yes
BLVRB,yes
SNW1,yes
SDHA,yes
MAGOH,yes
SMARCB1,yes
EIF5A,yes
TSFM,yes
