genes names,interactor
TP53,yes
ALDH2,yes
STAT3,yes
ACTB,yes
GAPDH,yes
PKM,yes
IGF1R,yes
SRC,yes
EIF2S1,yes
EGFR,yes
IRS1,yes
PPIF,yes
PPID,yes
HSPA4,yes
HSPD1,yes
ATP5F1B,yes
HMOX1,yes
POR,yes
CYB5B,yes
JUN,yes
STAT1,yes
H2BC11,yes
ANP32E,yes
INO80C,yes
MMP7,yes
HSPA9,yes
PDHB,yes
ATP5F1A,yes
ASNS,yes
CCN2,yes
RRM1,yes
HIF1A,yes
MGLL,yes
NDUFS2,yes
SOD2,yes
CIAPIN1,yes
PTGS2,yes
FOSL2,yes
GOT1,yes
BCAT1,yes
SDSL,yes
TXN,yes
SMAD2,yes
FN1,yes
MT-ATP6,yes
GMPS,yes
EEF1A1,yes
EEF2,yes
ADSL,yes
SDHA,yes
ATF3,yes
CEBPB,yes
BLVRB,yes
FOS,yes
POLR2C,yes
HDAC1,yes
RUVBL1,yes
XBP1,yes
RPS27A,yes
HSPA5,yes
HSP90AA1,yes
DLD,yes
H1-0,yes
NOP58,yes
CHD4,yes
SOX2,yes
H4C6,yes
DDB2,yes
WDR61,yes
CCT5,yes
PELP1,yes
MYC,yes
CDK7,yes
HSP90AB1,yes
ATF4,yes
CTNNB1,yes
NPM1,yes
ATIC,yes
KPNA4,yes
SNW1,yes
