native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,cluster
KEGG:04510,Focal adhesion,6.435442680429458e-13,202,57,17,8484,0.2982456140350877,0.08415841584158416,"['BCAR1', 'DIAPH1', 'ILK', 'ITGA2', 'ITGA3', 'ITGB5', 'LAMC2', 'MET', 'PAK4', 'PPP1CB', 'PPP1R12A', 'PXN', 'RAC3', 'ROCK1', 'VASP', 'VCL', 'ZYX']",0
KEGG:04810,Regulation of actin cytoskeleton,7.327369348324602e-11,227,57,16,8484,0.2807017543859649,0.07048458149779736,"['ABI2', 'BCAR1', 'DIAPH1', 'EZR', 'GNG12', 'ITGA2', 'ITGA3', 'ITGB5', 'MYH9', 'PAK4', 'PPP1CB', 'PPP1R12A', 'PXN', 'RAC3', 'ROCK1', 'VCL']",0
GO:0016477,cell migration,1.917217565212078e-10,1496,71,27,21031,0.38028169014084506,0.01804812834224599,"['ABI2', 'ADA', 'BCAR1', 'CD44', 'FERMT1', 'GNAI2', 'HYAL2', 'ILK', 'ITGA2', 'ITGA3', 'ITGB5', 'LAMC2', 'MAP2K3', 'MET', 'MYH9', 'PAK4', 'PKN1', 'PXN', 'RAC3', 'RHOB', 'RND3', 'ROCK1', 'SH3KBP1', 'SPAG9', 'TIMP1', 'TWIST2', 'VCL']",0
GO:0007015,actin filament organization,4.280137276510224e-09,463,71,16,21031,0.22535211267605634,0.03455723542116631,"['ABI2', 'BCAR1', 'CAPZA1', 'DIAPH1', 'EZR', 'ITGB5', 'MET', 'PXN', 'RAC3', 'RHOB', 'RND3', 'ROCK1', 'SH3KBP1', 'TWF1', 'VASP', 'ZYX']",0
GO:0048870,cell motility,4.526801748089598e-09,1709,71,27,21031,0.38028169014084506,0.01579871269748391,"['ABI2', 'ADA', 'BCAR1', 'CD44', 'FERMT1', 'GNAI2', 'HYAL2', 'ILK', 'ITGA2', 'ITGA3', 'ITGB5', 'LAMC2', 'MAP2K3', 'MET', 'MYH9', 'PAK4', 'PKN1', 'PXN', 'RAC3', 'RHOB', 'RND3', 'ROCK1', 'SH3KBP1', 'SPAG9', 'TIMP1', 'TWIST2', 'VCL']",0
GO:0009719,response to endogenous stimulus,2.083295281124158e-08,1678,71,26,21031,0.36619718309859156,0.015494636471990465,"['AKAP9', 'AREG', 'BCAR1', 'CD44', 'DIAPH1', 'EHD1', 'EREG', 'EZR', 'FERMT1', 'GNAI2', 'GNB5', 'HYAL2', 'ILK', 'ITGA2', 'ITGA3', 'ITGB5', 'MAP2K3', 'PDE8A', 'PKN1', 'PTPN12', 'PXN', 'ROCK1', 'TIMP1', 'TWIST2', 'VIM', 'ZYX']",0
GO:0030029,actin filament-based process,2.212121911830492e-08,805,71,19,21031,0.2676056338028169,0.02360248447204969,"['ABI2', 'AKAP9', 'BCAR1', 'CAPZA1', 'DIAPH1', 'EHD2', 'EZR', 'ITGB5', 'MET', 'MYH9', 'PXN', 'RAC3', 'RHOB', 'RND3', 'ROCK1', 'SH3KBP1', 'TWF1', 'VASP', 'ZYX']",0
GO:0030036,actin cytoskeleton organization,3.093710045494584e-08,717,71,18,21031,0.2535211267605634,0.02510460251046025,"['ABI2', 'BCAR1', 'CAPZA1', 'DIAPH1', 'EHD2', 'EZR', 'ITGB5', 'MET', 'MYH9', 'PXN', 'RAC3', 'RHOB', 'RND3', 'ROCK1', 'SH3KBP1', 'TWF1', 'VASP', 'ZYX']",0
GO:0006796,phosphate-containing compound metabolic process,6.520133805360104e-08,2571,71,31,21031,0.43661971830985913,0.012057565149747181,"['ABI2', 'ADA', 'ADK', 'AK3', 'AKAP9', 'AREG', 'CD44', 'CDA', 'DCTD', 'ENTPD6', 'EREG', 'HYAL2', 'ILK', 'IMPDH1', 'MAP2K3', 'MET', 'NT5E', 'PAK4', 'PDE8A', 'PKN1', 'PPP1CB', 'PPP1R11', 'PPP1R12A', 'PPP1R14A', 'PTPN12', 'RALB', 'ROCK1', 'SH3KBP1', 'SPAG9', 'TWF1', 'TYMP']",0
GO:0006793,phosphorus metabolic process,8.369927337960349e-08,2596,71,31,21031,0.43661971830985913,0.011941448382126348,"['ABI2', 'ADA', 'ADK', 'AK3', 'AKAP9', 'AREG', 'CD44', 'CDA', 'DCTD', 'ENTPD6', 'EREG', 'HYAL2', 'ILK', 'IMPDH1', 'MAP2K3', 'MET', 'NT5E', 'PAK4', 'PDE8A', 'PKN1', 'PPP1CB', 'PPP1R11', 'PPP1R12A', 'PPP1R14A', 'PTPN12', 'RALB', 'ROCK1', 'SH3KBP1', 'SPAG9', 'TWF1', 'TYMP']",0
GO:0051128,regulation of cellular component organization,8.442647535500902e-08,2425,71,30,21031,0.4225352112676056,0.012371134020618556,"['ABI2', 'AHNAK', 'AKAP9', 'BCAR1', 'CAPZA1', 'CD44', 'CDA', 'DIAPH1', 'EHD1', 'EHD2', 'EREG', 'EZR', 'FERMT1', 'HYAL2', 'ITGA2', 'ITGA3', 'MET', 'MYH9', 'PAK4', 'PPP1R10', 'PXN', 'RAC3', 'RALB', 'RHOB', 'ROCK1', 'SPAG9', 'TWF1', 'VASP', 'VCL', 'VIM']",0
GO:0001667,ameboidal-type cell migration,2.443489451156349e-07,428,71,14,21031,0.19718309859154928,0.03271028037383177,"['BCAR1', 'FERMT1', 'HYAL2', 'ILK', 'ITGA2', 'ITGA3', 'MAP2K3', 'MET', 'MYH9', 'PKN1', 'PXN', 'RHOB', 'ROCK1', 'TIMP1']",0
KEGG:01232,Nucleotide metabolism,2.9686360861139705e-07,84,57,9,8484,0.15789473684210525,0.10714285714285714,"['ADA', 'ADK', 'AK3', 'CDA', 'DCTD', 'ENTPD6', 'IMPDH1', 'NT5E', 'TYMP']",0
GO:0007229,integrin-mediated signaling pathway,3.593305443030555e-07,117,71,9,21031,0.1267605633802817,0.07692307692307693,"['BCAR1', 'FERMT1', 'ILK', 'ITGA2', 'ITGA3', 'ITGB5', 'MYH9', 'TIMP1', 'ZYX']",0
