genes_names,lfc_cluster3
SDF4,0.18730832952050852
ENO1,-0.08981357145895856
APITD1,0.2130069528018227
EFHD2,-0.1702554548479593
AKR7A2,0.358049466496705
CAMK2N1,-0.6381444322401981
ID3,-0.3223505205046797
STMN1,-0.3133682546356527
SH3BGRL3,0.2204931519979742
SFN,0.25897329457452967
TRNP1,0.1721141985932491
WASF2,0.1621520667317744
EIF3I,0.14886981216157916
MARCKSL1,0.2255715978517054
PABPC4,-0.21927374154349158
CITED4,0.6072289936051832
ELOVL1,0.1954284387510021
PRDX1,-0.17708394765214694
JAK1,-0.8176835734194554
LEPROT,-0.38744722909560353
SRSF11,-0.26556719451361704
TYW3,0.2552092597516729
LMO4,-0.30278991517625775
LRIF1,0.293278394726111
BOLA1,0.2619913499299318
MCL1,0.6876201841147093
PSMB4,-0.18176931106619557
S100A6,0.18791731273356818
S100A4,-0.010027019459387852
S100A16,0.44774758320978275
RPS27,-0.08379074545696102
FDPS,-0.4139726603907936
TAGLN2,-0.33149659123909475
MPZL1,-0.4113731811776971
ATP1B1,-0.20576105837081385
TOR3A,-0.3521288871627432
RGS2,0.4901848744269567
PHLDA3,-0.2648361607589646
ELF3,-1.2395835696401614
UBE2T,0.24496658837387503
NUCKS1,-0.2378409489447214
CENPF,-0.2054549414191861
ENAH,-0.5281103125429951
EPHX1,-0.43217644749122897
RP11-295G20.2,0.5807940184589555
OPN3,-0.8860853948806463
TMEM18,0.2940258445454999
TSSC1,0.3328279397908746
RPS7,-0.02550428462144109
ID2,0.25855659917633
HPCAL1,0.8282874092705788
ODC1,0.2782806405276937
KCNF1,0.5264202607058196
ROCK2,-0.5583738779634128
SDC1,-0.5306119917169803
TP53I3,-0.17292803127720288
RAB10,-0.4481274805002077
SLC35F6,-0.45943297771812064
CENPA,-0.27205090532260284
PREB,0.1762951503269464
MPV17,0.20012416060190555
CRIM1,-0.2944321457663666
EPAS1,0.3936572565449522
CFAP36,0.23526094797055383
C2orf74,0.39924332105895755
COMMD1,0.22326278732599203
EHBP1,0.41162435425273647
AAK1,-0.5073320099601455
ANXA4,-0.5631280595009373
MTHFD2,0.21939605507028975
ST3GAL5,1.09707322322754
NPAS2,0.3965192815099775
MAP4K4,0.5389412238031737
SLC20A1,0.4468849001925078
