native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,group
KEGG:04810,Regulation of actin cytoskeleton,1.1423621797280118e-07,227,7,6,8484,0.8571428571428571,0.02643171806167401,"['GNG12', 'RAC3', 'ARPC1B', 'ABI2', 'WASF2', 'PAK4']",0
GO:0016601,Rac protein signal transduction,0.000388022606468724,48,7,3,21031,0.42857142857142855,0.0625,"['RAC3', 'ABI2', 'WASF2']",0
GO:0034314,Arp2/3 complex-mediated actin nucleation,0.000388022606468724,48,7,3,21031,0.42857142857142855,0.0625,"['ARPC1B', 'ABI2', 'WASF2']",0
GO:0045010,actin nucleation,0.0008467673548419654,62,7,3,21031,0.42857142857142855,0.04838709677419355,"['ARPC1B', 'ABI2', 'WASF2']",0
GO:0007010,cytoskeleton organization,0.00089893352943402,1512,7,6,21031,0.8571428571428571,0.003968253968253968,"['RAC3', 'ARPC1B', 'ABI2', 'WASF2', 'PARD3', 'PAK4']",0
KEGG:04520,Adherens junction,0.0020989030161108818,93,7,3,8484,0.42857142857142855,0.03225806451612903,"['RAC3', 'WASF2', 'PARD3']",0
GO:2000601,positive regulation of Arp2/3 complex-mediated actin nucleation,0.002656409551684658,8,7,2,21031,0.2857142857142857,0.25,"['ABI2', 'WASF2']",0
KEGG:05135,Yersinia infection,0.0065312840960437026,136,7,3,8484,0.42857142857142855,0.022058823529411766,"['RAC3', 'ARPC1B', 'WASF2']",0
GO:0007015,actin filament organization,0.007700104791415706,463,7,4,21031,0.5714285714285714,0.008639308855291577,"['RAC3', 'ARPC1B', 'ABI2', 'WASF2']",0
GO:0051127,positive regulation of actin nucleation,0.00862512231011829,14,7,2,21031,0.2857142857142857,0.14285714285714285,"['ABI2', 'WASF2']",0
GO:0098974,postsynaptic actin cytoskeleton organization,0.012884162623389359,17,7,2,21031,0.2857142857142857,0.11764705882352941,"['RAC3', 'WASF2']",0
KEGG:04360,Axon guidance,0.015234725603807758,181,7,3,8484,0.42857142857142855,0.016574585635359115,"['RAC3', 'PARD3', 'PAK4']",0
KEGG:04062,Chemokine signaling pathway,0.017579357163689066,190,7,3,8484,0.42857142857142855,0.015789473684210527,"['GNG12', 'RAC3', 'PARD3']",0
GO:0099188,postsynaptic cytoskeleton organization,0.01799137268893454,20,7,2,21031,0.2857142857142857,0.1,"['RAC3', 'WASF2']",0
KEGG:05170,Human immunodeficiency virus 1 infection,0.023601661984450288,210,7,3,8484,0.42857142857142855,0.014285714285714285,"['GNG12', 'RAC3', 'PAK4']",0
GO:0099173,postsynapse organization,0.02797829519391068,198,7,3,21031,0.42857142857142855,0.015151515151515152,"['RAC3', 'ABI2', 'WASF2']",0
KEGG:04014,Ras signaling pathway,0.032828573962030226,235,7,3,8484,0.42857142857142855,0.01276595744680851,"['GNG12', 'RAC3', 'PAK4']",0
GO:0120039,plasma membrane bounded cell projection morphogenesis,0.033288774447920076,671,7,4,21031,0.5714285714285714,0.005961251862891207,"['RAC3', 'ABI2', 'WASF2', 'PARD3']",0
GO:0048858,cell projection morphogenesis,0.03427437664608953,676,7,4,21031,0.5714285714285714,0.005917159763313609,"['RAC3', 'ABI2', 'WASF2', 'PARD3']",0
GO:0010592,positive regulation of lamellipodium assembly,0.03574798303833381,28,7,2,21031,0.2857142857142857,0.07142857142857142,"['ABI2', 'WASF2']",0
GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,0.03838989308134746,29,7,2,21031,0.2857142857142857,0.06896551724137931,"['ABI2', 'WASF2']",0
GO:0120036,plasma membrane bounded cell projection organization,0.04258826561857025,1570,7,5,21031,0.7142857142857143,0.0031847133757961785,"['RAC3', 'ABI2', 'WASF2', 'PARD3', 'PAK4']",0
GO:0030036,actin cytoskeleton organization,0.04319146832010786,717,7,4,21031,0.5714285714285714,0.005578800557880056,"['RAC3', 'ARPC1B', 'ABI2', 'WASF2']",0
GO:0030030,cell projection organization,0.048580390500875606,1613,7,5,21031,0.7142857142857143,0.0030998140111593306,"['RAC3', 'ABI2', 'WASF2', 'PARD3', 'PAK4']",0
GO:0030036,actin cytoskeleton organization,8.415310250527836e-10,717,26,13,21031,0.5,0.01813110181311018,"['TPM1', 'FSCN1', 'ZYX', 'MYH9', 'PALLD', 'TNNT1', 'ANXA1', 'TPM2', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'ENAH']",1
GO:0030029,actin filament-based process,3.641110306746907e-09,805,26,13,21031,0.5,0.016149068322981366,"['TPM1', 'FSCN1', 'ZYX', 'MYH9', 'PALLD', 'TNNT1', 'ANXA1', 'TPM2', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'ENAH']",1
GO:0042060,wound healing,1.9201822109682496e-06,425,26,9,21031,0.34615384615384615,0.021176470588235293,"['TPM1', 'NRG1', 'MYH9', 'AHNAK', 'ANXA1', 'FLNA', 'EREG', 'MYOF', 'CD44']",1
GO:0007015,actin filament organization,4.063732639261514e-06,463,26,9,21031,0.34615384615384615,0.019438444924406047,"['TPM1', 'FSCN1', 'ZYX', 'TPM2', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'ENAH']",1
GO:0007010,cytoskeleton organization,9.010459994535172e-06,1512,26,13,21031,0.5,0.008597883597883597,"['TPM1', 'FSCN1', 'ZYX', 'MYH9', 'PALLD', 'TNNT1', 'ANXA1', 'TPM2', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'ENAH']",1
GO:0009653,anatomical structure morphogenesis,1.1459255958475965e-05,2684,26,16,21031,0.6153846153846154,0.005961251862891207,"['TPM1', 'NRG1', 'MYH9', 'PALLD', 'TNNT1', 'ANXA1', 'S100A6', 'VASP', 'EZR', 'ACTN1', 'AREG', 'FLNA', 'DHRS3', 'EREG', 'CD44', 'ENAH']",1
GO:0000902,cell morphogenesis,1.4828329284945705e-05,986,26,11,21031,0.4230769230769231,0.011156186612576065,"['TPM1', 'MYH9', 'PALLD', 'ANXA1', 'S100A6', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'CD44', 'ENAH']",1
GO:0009611,response to wounding,2.0271941569240422e-05,557,26,9,21031,0.34615384615384615,0.01615798922800718,"['TPM1', 'NRG1', 'MYH9', 'AHNAK', 'ANXA1', 'FLNA', 'EREG', 'MYOF', 'CD44']",1
GO:0097435,supramolecular fiber organization,4.796236179271921e-05,842,26,10,21031,0.38461538461538464,0.011876484560570071,"['TPM1', 'FSCN1', 'ZYX', 'TNNT1', 'TPM2', 'VASP', 'EZR', 'ACTN1', 'FLNA', 'ENAH']",1
GO:0051017,actin filament bundle assembly,5.360438169824102e-05,158,26,6,21031,0.23076923076923078,0.0379746835443038,"['TPM1', 'FSCN1', 'ZYX', 'EZR', 'ACTN1', 'FLNA']",1
GO:0061572,actin filament bundle organization,5.996981506211577e-05,161,26,6,21031,0.23076923076923078,0.037267080745341616,"['TPM1', 'FSCN1', 'ZYX', 'EZR', 'ACTN1', 'FLNA']",1
GO:0009888,tissue development,0.0002715425299381986,2010,26,13,21031,0.5,0.006467661691542288,"['TPM1', 'NRG1', 'MYH9', 'PALLD', 'ANXA1', 'S100A4', 'VASP', 'CD24', 'EZR', 'AREG', 'FLNA', 'EREG', 'CD44']",1
GO:0007155,cell adhesion,0.001161341009765141,1512,26,11,21031,0.4230769230769231,0.007275132275132275,"['TPM1', 'ZYX', 'NRG1', 'MYH9', 'PALLD', 'ANXA1', 'CD24', 'EZR', 'ACTN1', 'FLNA', 'CD44']",1
GO:0060429,epithelium development,0.0015730409140329849,1225,26,10,21031,0.38461538461538464,0.00816326530612245,"['NRG1', 'PALLD', 'ANXA1', 'VASP', 'CD24', 'EZR', 'AREG', 'FLNA', 'EREG', 'CD44']",1
GO:0120036,plasma membrane bounded cell projection organization,0.0016898665695838327,1570,26,11,21031,0.4230769230769231,0.0070063694267515925,"['TPM1', 'FSCN1', 'MYH9', 'PALLD', 'S100A6', 'VASP', 'EZR', 'AREG', 'FLNA', 'CD44', 'ENAH']",1
GO:0048468,cell development,0.0018657127120658473,2819,26,14,21031,0.5384615384615384,0.004966300106420717,"['TPM1', 'NRG1', 'MYH9', 'PALLD', 'TNNT1', 'ANXA1', 'S100A6', 'VASP', 'EZR', 'ACTN1', 'AREG', 'FLNA', 'EREG', 'ENAH']",1
