native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,cluster
GO:1901564,organonitrogen compound metabolic process,1.1627389646882478e-18,5986,120,85,21031,0.7083333333333334,0.014199799532241897,"['ENO1', 'NUDC', 'EIF3I', 'RABGGTB', 'RPS27', 'CCT3', 'RPS7', 'CALM2', 'CCT4', 'MDH1', 'CCT7', 'SSB', 'HSPD1', 'XRCC5', 'IMPDH2', 'TKT', 'PDHB', 'PSMD6', 'EIF2A', 'RPL22L1', 'FXR1', 'EIF4A2', 'CCT5', 'CAMLG', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PCMT1', 'PSMB1', 'ACTB', 'COPS6', 'PSMC2', 'PRDX4', 'IGBP1', 'RPS4X', 'PGK1', 'GGH', 'DCAF13', 'DNAJA1', 'ALDH1A1', 'ANXA1', 'TXN', 'TALDO1', 'LDHA', 'PSMC3', 'SPCS2', 'IL18', 'HSPA8', 'CDC123', 'VIM', 'GSTO1', 'GAPDH', 'LDHB', 'KRAS', 'PA2G4', 'CCT2', 'LTA4H', 'HSP90B1', 'UBC', 'PSME2', 'PSMC6', 'PSMA3', 'EIF2S1', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'ALDOA', 'NQO1', 'PSMD7', 'PSMB6', 'EIF4A1', 'RPL26', 'UBB', 'PSMB3', 'EIF1', 'EIF4A3', 'PSMC4', 'BLVRB', 'PRMT1', 'ETFB', 'RPS4Y1', 'XRCC6', 'CCT8']",7
GO:0019538,protein metabolic process,1.3991266987555272e-14,4912,120,72,21031,0.6,0.014657980456026058,"['ENO1', 'NUDC', 'EIF3I', 'RABGGTB', 'RPS27', 'CCT3', 'RPS7', 'CALM2', 'CCT4', 'CCT7', 'SSB', 'HSPD1', 'XRCC5', 'PSMD6', 'EIF2A', 'RPL22L1', 'FXR1', 'EIF4A2', 'CCT5', 'CAMLG', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PCMT1', 'PSMB1', 'ACTB', 'COPS6', 'PSMC2', 'PRDX4', 'IGBP1', 'RPS4X', 'PGK1', 'DCAF13', 'DNAJA1', 'ANXA1', 'TXN', 'PSMC3', 'SPCS2', 'IL18', 'HSPA8', 'CDC123', 'VIM', 'GAPDH', 'KRAS', 'PA2G4', 'CCT2', 'LTA4H', 'HSP90B1', 'UBC', 'PSME2', 'PSMC6', 'PSMA3', 'EIF2S1', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'NQO1', 'PSMD7', 'PSMB6', 'EIF4A1', 'RPL26', 'UBB', 'PSMB3', 'EIF1', 'EIF4A3', 'PSMC4', 'PRMT1', 'RPS4Y1', 'XRCC6', 'CCT8']",7
KEGG:03050,Proteasome,3.219102015114534e-14,46,86,13,8484,0.1511627906976744,0.2826086956521739,"['PSMD6', 'PSMB1', 'PSMC2', 'PSMC3', 'PSME2', 'PSMC6', 'PSMA3', 'PSMC1', 'PSMA4', 'PSMD7', 'PSMB6', 'PSMB3', 'PSMC4']",7
GO:1901575,organic substance catabolic process,4.344775324085516e-12,2074,120,44,21031,0.36666666666666664,0.021215043394406944,"['ENO1', 'RPS7', 'SSB', 'PSMD6', 'FXR1', 'CAMLG', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PSMB1', 'PSMC2', 'AKR1B10', 'PGK1', 'DCAF13', 'ALDH1A1', 'LDHA', 'PSMC3', 'HSPA8', 'AKR1C3', 'VIM', 'GAPDH', 'LTA4H', 'HSP90B1', 'UBC', 'EXOSC8', 'PSME2', 'PSMC6', 'PSMA3', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'ALDOA', 'NQO1', 'PSMD7', 'PSMB6', 'UBB', 'PSMB3', 'EIF4A3', 'ECH1', 'PSMC4', 'BLVRB', 'ETFB']",7
GO:0051246,regulation of protein metabolic process,7.070705772176601e-12,2102,120,44,21031,0.36666666666666664,0.02093244529019981,"['ENO1', 'RPS7', 'CALM2', 'SSB', 'HSPD1', 'XRCC5', 'EIF2A', 'FXR1', 'EIF4A2', 'CAMLG', 'NPM1', 'HSP90AB1', 'EEF1A1', 'ACTB', 'COPS6', 'PSMC2', 'IGBP1', 'RPS4X', 'DNAJA1', 'TXN', 'PSMC3', 'IL18', 'CDC123', 'VIM', 'GAPDH', 'KRAS', 'PA2G4', 'HSP90B1', 'PSME2', 'PSMC6', 'PSMA3', 'EIF2S1', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'NQO1', 'RPL26', 'UBB', 'EIF1', 'EIF4A3', 'PSMC4', 'PRMT1', 'XRCC6']",7
GO:0009056,catabolic process,7.461216073936205e-11,2556,120,47,21031,0.39166666666666666,0.018388106416275432,"['ENO1', 'PRDX1', 'RPS7', 'SSB', 'PSMD6', 'FXR1', 'CAMLG', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PSMB1', 'PSMC2', 'AKR1B10', 'PRDX4', 'PGK1', 'DCAF13', 'ALDH1A1', 'LDHA', 'PSMC3', 'HSPA8', 'AKR1C3', 'VIM', 'GSTO1', 'GAPDH', 'LTA4H', 'HSP90B1', 'UBC', 'EXOSC8', 'PSME2', 'PSMC6', 'PSMA3', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'ALDOA', 'NQO1', 'PSMD7', 'PSMB6', 'UBB', 'PSMB3', 'EIF4A3', 'ECH1', 'PSMC4', 'BLVRB', 'ETFB']",7
KEGG:05012,Parkinson disease,9.826689779282226e-11,265,86,20,8484,0.23255813953488372,0.07547169811320754,"['CALM2', 'PSMD6', 'TUBB', 'PSMB1', 'PSMC2', 'VDAC3', 'TXN', 'TUBB4B', 'PSMC3', 'UBC', 'PSMC6', 'PSMA3', 'EIF2S1', 'PSMC1', 'PSMA4', 'PSMD7', 'PSMB6', 'UBB', 'PSMB3', 'PSMC4']",7
GO:1901565,organonitrogen compound catabolic process,3.884056917091472e-10,1399,120,34,21031,0.2833333333333333,0.024303073624017155,"['ENO1', 'RPS7', 'PSMD6', 'CAMLG', 'HSP90AB1', 'EEF1A1', 'PSMB1', 'PSMC2', 'PGK1', 'DCAF13', 'LDHA', 'PSMC3', 'HSPA8', 'GAPDH', 'LTA4H', 'HSP90B1', 'UBC', 'PSME2', 'PSMC6', 'PSMA3', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'ALDOA', 'NQO1', 'PSMD7', 'PSMB6', 'UBB', 'PSMB3', 'PSMC4', 'BLVRB', 'ETFB']",7
GO:1904851,positive regulation of establishment of protein localization to telomere,1.08094033355774e-08,10,120,6,21031,0.05,0.6,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",7
GO:0006518,peptide metabolic process,1.3614767544932726e-08,911,120,26,21031,0.21666666666666667,0.02854006586169045,"['EIF3I', 'RPS27', 'RPS7', 'SSB', 'EIF2A', 'RPL22L1', 'FXR1', 'EIF4A2', 'NPM1', 'EEF1A1', 'RPS4X', 'SPCS2', 'CDC123', 'VIM', 'GSTO1', 'GAPDH', 'PA2G4', 'LTA4H', 'EIF2S1', 'PKM', 'EIF4A1', 'RPL26', 'EIF1', 'EIF4A3', 'PRMT1', 'RPS4Y1']",7
