genes_names,lfc_cluster2
S100A6,0.0040319810790905445
S100A4,-0.02982389927546501
TAGLN2,-0.012590311153136488
EZR,-0.12037181006335336
ACTB,0.0038439266600445274
CAV2,0.03883399119923882
CAV1,-0.036766069141281006
AKR1B10,-0.0871915931356657
TRAM1,-0.17789049608062651
ALDH1A1,-0.09209865625709496
PHLDA2,0.02295444360880312
AHNAK,-0.008808287879737631
PLA2G16,-0.13942227257139975
AKR1C2,-0.15068252261423215
AKR1C3,-0.14194084127767306
VIM,8.740364621324404e-05
ITGB1,-0.11628680931232899
KRAS,-0.17832729995028235
TUBA1B,-0.09560766753943425
KRT8,-0.16987230790962835
C12orf75,-0.17108515935313992
GPX2,-0.38337029265283823
SLC7A5,-0.03858936005898377
ALDH3A1,-0.07929789414393618
IGFBP4,0.08984474564416689
PTRF,-0.01423014289970233
AP1M2,-0.0742522555691311
PDXK,-0.13615582220999847
KRAS,-0.17832729995028235
