native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,group
GO:1901564,organonitrogen compound metabolic process,6.241533532618035e-11,5986,89,60,21031,0.6741573033707865,0.010023387905111928,"['ENO1', 'NUDC', 'EIF3I', 'CCT3', 'RPS7', 'CALM2', 'CCT4', 'CCT7', 'SSB', 'HSPD1', 'XRCC5', 'NCL', 'TKT', 'RPL22L1', 'CCT5', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PSMB1', 'ACTB', 'COPS6', 'PRDX4', 'RPS4X', 'PGK1', 'MCTS1', 'DNAJA1', 'ALDH1A1', 'ANXA1', 'TXN', 'TALDO1', 'LDHA', 'PSMC3', 'HSPA8', 'CDC123', 'VIM', 'GSTO1', 'GAPDH', 'LDHB', 'PA2G4', 'CCT2', 'PSME2', 'PSMA3', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'ALDOA', 'NQO1', 'PSMB6', 'EIF4A1', 'RPL26', 'UBB', 'PSMB3', 'EIF1', 'PSMC4', 'BLVRB', 'PRMT1', 'ETFB', 'CCT8']",8
GO:1904851,positive regulation of establishment of protein localization to telomere,2.386827283639921e-09,10,89,6,21031,0.06741573033707865,0.6,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
KEGG:03050,Proteasome,2.746217027172033e-09,46,63,9,8484,0.14285714285714285,0.1956521739130435,"['PSMB1', 'PSMC3', 'PSME2', 'PSMA3', 'PSMC1', 'PSMA4', 'PSMB6', 'PSMB3', 'PSMC4']",8
GO:0070203,regulation of establishment of protein localization to telomere,5.233254083481114e-09,11,89,6,21031,0.06741573033707865,0.5454545454545454,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1904871,positive regulation of protein localization to Cajal body,5.233254083481114e-09,11,89,6,21031,0.06741573033707865,0.5454545454545454,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1904869,regulation of protein localization to Cajal body,5.233254083481114e-09,11,89,6,21031,0.06741573033707865,0.5454545454545454,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1904867,protein localization to Cajal body,1.0431097542020873e-08,12,89,6,21031,0.06741573033707865,0.5,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:0070202,regulation of establishment of protein localization to chromosome,1.0431097542020873e-08,12,89,6,21031,0.06741573033707865,0.5,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1903405,protein localization to nuclear body,1.0431097542020873e-08,12,89,6,21031,0.06741573033707865,0.5,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:0019538,protein metabolic process,1.379019517382782e-08,4912,89,51,21031,0.5730337078651685,0.010382736156351791,"['ENO1', 'NUDC', 'EIF3I', 'CCT3', 'RPS7', 'CALM2', 'CCT4', 'CCT7', 'SSB', 'HSPD1', 'XRCC5', 'NCL', 'RPL22L1', 'CCT5', 'NPM1', 'HSP90AB1', 'EEF1A1', 'PSMB1', 'ACTB', 'COPS6', 'PRDX4', 'RPS4X', 'PGK1', 'MCTS1', 'DNAJA1', 'ANXA1', 'TXN', 'PSMC3', 'HSPA8', 'CDC123', 'VIM', 'GAPDH', 'PA2G4', 'CCT2', 'PSME2', 'PSMA3', 'PSMC1', 'HSP90AA1', 'ANXA2', 'PKM', 'PSMA4', 'NQO1', 'PSMB6', 'EIF4A1', 'RPL26', 'UBB', 'PSMB3', 'EIF1', 'PSMC4', 'PRMT1', 'CCT8']",8
GO:0050821,protein stabilization,1.5643035473090097e-08,215,89,13,21031,0.14606741573033707,0.06046511627906977,"['CCT3', 'RPS7', 'CCT4', 'CCT7', 'HSPD1', 'CCT5', 'NPM1', 'HSP90AB1', 'GAPDH', 'CCT2', 'HSP90AA1', 'PFN1', 'CCT8']",8
GO:0006457,protein folding,1.7586173441743208e-08,217,89,13,21031,0.14606741573033707,0.059907834101382486,"['NUDC', 'CCT3', 'CCT4', 'CCT7', 'HSPD1', 'CCT5', 'HSP90AB1', 'PRDX4', 'DNAJA1', 'HSPA8', 'CCT2', 'HSP90AA1', 'CCT8']",8
GO:1904816,"positive regulation of protein localization to chromosome, telomeric region",1.9306500121835447e-08,13,89,6,21031,0.06741573033707865,0.46153846153846156,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1990173,protein localization to nucleoplasm,3.3672074802522295e-08,14,89,6,21031,0.06741573033707865,0.42857142857142855,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:2000573,positive regulation of DNA biosynthetic process,3.605333624951688e-08,70,89,9,21031,0.10112359550561797,0.12857142857142856,"['CCT3', 'CCT4', 'CCT7', 'XRCC5', 'CCT5', 'HSP90AB1', 'CCT2', 'HSP90AA1', 'CCT8']",8
GO:0007004,telomere maintenance via telomerase,4.1145410551527326e-08,71,89,9,21031,0.10112359550561797,0.1267605633802817,"['CCT3', 'CCT4', 'CCT7', 'XRCC5', 'CCT5', 'HSP90AB1', 'CCT2', 'HSP90AA1', 'CCT8']",8
GO:0006278,RNA-templated DNA biosynthetic process,5.326902711690297e-08,73,89,9,21031,0.10112359550561797,0.1232876712328767,"['CCT3', 'CCT4', 'CCT7', 'XRCC5', 'CCT5', 'HSP90AB1', 'CCT2', 'HSP90AA1', 'CCT8']",8
GO:1904814,"regulation of protein localization to chromosome, telomeric region",5.5930274065113884e-08,15,89,6,21031,0.06741573033707865,0.4,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
GO:1904874,positive regulation of telomerase RNA localization to Cajal body,5.5930274065113884e-08,15,89,6,21031,0.06741573033707865,0.4,"['CCT3', 'CCT4', 'CCT7', 'CCT5', 'CCT2', 'CCT8']",8
