native,name,p_value,term_size,query_size,intersection_size,effective_domain_size,precision,recall,intersections,group
KEGG:01212,Fatty acid metabolism,3.979062329216329e-17,57,16,10,8484,0.625,0.17543859649122806,"['HSD17B12', 'ACAT2', 'FADS2', 'HACD3', 'ACADVL', 'ACACA', 'SCD', 'HADHA', 'ELOVL5', 'HACD1']",0
GO:0044255,cellular lipid metabolic process,1.5589680951238315e-14,1005,18,15,21031,0.8333333333333334,0.014925373134328358,"['FDFT1', 'HSD17B12', 'ACAT2', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'IDI1', 'ACACA', 'SCD', 'HADHA', 'FDPS', 'ETFB', 'ELOVL5', 'HACD1']",0
GO:0044281,small molecule metabolic process,1.9356050523201753e-14,1813,18,17,21031,0.9444444444444444,0.009376723662437948,"['FDFT1', 'HSD17B12', 'ACAT2', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'KYNU', 'IDI1', 'ACACA', 'SCD', 'HADHA', 'FDPS', 'SQLE', 'ETFB', 'ELOVL5', 'HACD1']",0
GO:0006629,lipid metabolic process,2.5159302055941512e-14,1388,18,16,21031,0.8888888888888888,0.011527377521613832,"['FDFT1', 'HSD17B12', 'ACAT2', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'IDI1', 'ACACA', 'SCD', 'HADHA', 'FDPS', 'SQLE', 'ETFB', 'ELOVL5', 'HACD1']",0
GO:0044283,small molecule biosynthetic process,7.201558065735484e-14,592,18,13,21031,0.7222222222222222,0.02195945945945946,"['FDFT1', 'HSD17B12', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'KYNU', 'IDI1', 'ACACA', 'SCD', 'FDPS', 'ELOVL5', 'HACD1']",0
GO:0008610,lipid biosynthetic process,1.034260601662071e-12,727,18,13,21031,0.7222222222222222,0.017881705639614855,"['FDFT1', 'HSD17B12', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'IDI1', 'ACACA', 'SCD', 'FDPS', 'SQLE', 'ELOVL5', 'HACD1']",0
GO:0006631,fatty acid metabolic process,4.1748925721010434e-12,397,18,11,21031,0.6111111111111112,0.027707808564231738,"['HSD17B12', 'ACAT2', 'FADS2', 'HACD3', 'ACADVL', 'ACACA', 'SCD', 'HADHA', 'ETFB', 'ELOVL5', 'HACD1']",0
GO:0032787,monocarboxylic acid metabolic process,1.1374556432039164e-11,629,18,12,21031,0.6666666666666666,0.019077901430842606,"['HSD17B12', 'ACAT2', 'FADS2', 'HACD3', 'ACADVL', 'KYNU', 'ACACA', 'SCD', 'HADHA', 'ETFB', 'ELOVL5', 'HACD1']",0
KEGG:01100,Metabolic pathways,7.931458269053393e-11,1537,16,16,8484,1.0,0.01040988939492518,"['FDFT1', 'HSD17B12', 'ACAT2', 'HMGCS1', 'FADS2', 'HACD3', 'ACADVL', 'KYNU', 'IDI1', 'ACACA', 'SCD', 'HADHA', 'FDPS', 'SQLE', 'ELOVL5', 'HACD1']",0
KEGG:01040,Biosynthesis of unsaturated fatty acids,2.8193630109947055e-10,27,16,6,8484,0.375,0.2222222222222222,"['HSD17B12', 'FADS2', 'HACD3', 'SCD', 'ELOVL5', 'HACD1']",0
