Gene stable ID	Gene name
ENSG00000198712	MT-CO2
ENSG00000198786	MT-ND5
ENSG00000198695	MT-ND6
ENSG00000198692	EIF1AY
ENSG00000291431	DUSP8
ENSG00000129824	RPS4Y1
ENSG00000067048	DDX3Y
ENSG00000285479	CACNA1C
ENSG00000280963	SERTAD4-AS1
ENSG00000281230	SERTAD4
ENSG00000099715	PCDH11Y
ENSG00000285241	PCK2
ENSG00000284916	PSME1
ENSG00000284889	PSME2
ENSG00000285048	IRF9
ENSG00000292333	P2RY8
ENSG00000292334	SLC25A6
ENSG00000292339	ASMTL
ENSG00000292342	LINC00685
ENSG00000292343	AKAP17A
ENSG00000292345	ZBED1
ENSG00000292347	LINC00102
ENSG00000292357	CSF2RA
ENSG00000284868	DHRS1
ENSG00000285485	NFATC4
ENSG00000281320	DYRK1B
ENSG00000281221	PSMC4
ENSG00000281526	ZNF546
ENSG00000284984	RHOU
ENSG00000280858	RPL7A
ENSG00000281165	SLC2A6
ENSG00000283949	DUX4
ENSG00000291470	PTP4A3
ENSG00000283946	CHRNB1
ENSG00000285312	C6orf52
ENSG00000285226	PAK1IP1
ENSG00000285222	GCNT2
ENSG00000280610	KIF15
ENSG00000154646	TMPRSS15
ENSG00000283085	TPBG
ENSG00000154639	CXADR
ENSG00000280549	PADI3
ENSG00000280908	PADI4
ENSG00000189403	HMGB1
ENSG00000288411	SAA1
ENSG00000288299	LDHA
ENSG00000288292	CLDN7
ENSG00000288145	EIF5A
ENSG00000288399	KCTD11
ENSG00000288401	CTTN
ENSG00000291508	EIF4A3
ENSG00000285121	MTCH2
ENSG00000132975	GPR12
ENSG00000288257	STRA6
ENSG00000168461	RAB31
ENSG00000204899	MZT1
ENSG00000291533	CCT8
ENSG00000260913	LINC01254
ENSG00000136122	BORA
ENSG00000280495	TRAPPC4
ENSG00000101489	CELF4
ENSG00000136158	SPRY2
ENSG00000281614	INPP5D
ENSG00000281857	SAG
ENSG00000102554	KLF5
ENSG00000237001	WASF3-AS1
ENSG00000288146	NOC4L
ENSG00000159261	CLDN14
ENSG00000281178	MLXIP
ENSG00000157557	ETS2
ENSG00000264745	TTC39C-AS1
ENSG00000291563	DSCAM-AS1
ENSG00000154839	SKA1
ENSG00000139734	DIAPH3
ENSG00000283847	HBP1
ENSG00000291631	NMB
ENSG00000118946	PCDH17
ENSG00000141639	MAPK4
ENSG00000159228	CBR1
ENSG00000159231	CBR3
ENSG00000166510	CCDC68
ENSG00000166979	EVA1C
ENSG00000041353	RAB27B
ENSG00000091164	TXNL1
ENSG00000154640	BTG3
ENSG00000185721	DRG1
ENSG00000154719	MRPL39
ENSG00000159263	SIM2
ENSG00000081138	CDH7
ENSG00000160209	PDXK
ENSG00000134871	COL4A2
ENSG00000160214	RRP1
ENSG00000184564	SLITRK6
ENSG00000184226	PCDH9
ENSG00000291663	PCDHA12
ENSG00000187498	COL4A1
ENSG00000288364	NDN
ENSG00000128342	LIF
ENSG00000291720	OMG
ENSG00000185950	IRS2
ENSG00000291745	MED10
ENSG00000125898	FAM110A
ENSG00000160199	PKNOX1
ENSG00000125816	NKX2-4
ENSG00000285272	TMEM249
ENSG00000100316	RPL3
ENSG00000285339	VPS28
ENSG00000125851	PCSK2
ENSG00000197971	MBP
ENSG00000075218	GTSE1
ENSG00000088930	XRN2
ENSG00000125870	SNRPB2
ENSG00000101474	APMAP
ENSG00000125864	BFSP1
ENSG00000291754	IQGAP3
ENSG00000292251	GPATCH4
ENSG00000170369	CST2
ENSG00000100347	SAMM50
ENSG00000182871	COL18A1
ENSG00000136156	ITM2B
ENSG00000154734	ADAMTS1
ENSG00000292234	COL18A1
ENSG00000101384	JAG1
ENSG00000291836	AAAS
ENSG00000089057	SLC23A2
ENSG00000198355	PIM3
ENSG00000291784	CCNB1IP1
ENSG00000291803	PARP2
ENSG00000149639	SOGA1
ENSG00000291796	APEX1
ENSG00000291814	PNP
ENSG00000183527	PSMG1
ENSG00000124191	TOX2
ENSG00000244558	KCNK15-AS1
ENSG00000122035	RASL11A
ENSG00000291917	GPRC5C
ENSG00000291918	CD300A
ENSG00000291891	PNLIPRP1
ENSG00000100311	PDGFB
ENSG00000101447	FAM83D
ENSG00000150656	CNDP1
ENSG00000158445	KCNB1
ENSG00000124249	KCNK15
ENSG00000175820	CCDC168
ENSG00000235123	DSCAM-AS1
ENSG00000284099	SQSTM1
ENSG00000124226	RNF114
ENSG00000100290	BIK
ENSG00000233695	GAS6-AS1
ENSG00000282986	EIF3K
ENSG00000282844	ACTN4
ENSG00000282853	ECH1
ENSG00000284254	HNRNPH1
ENSG00000282895	RINL
ENSG00000177504	VCX2
ENSG00000283082	LGALS7
ENSG00000182162	P2RY8
ENSG00000160182	TFF1
ENSG00000169100	SLC25A6
ENSG00000213888	LINC01521
ENSG00000125266	EFNB2
ENSG00000160185	UBASH3A
ENSG00000288199	LSP1
ENSG00000288250	TNNT3
ENSG00000169093	ASMTL
ENSG00000136143	SUCLA2
ENSG00000288368	C1GALT1C1
ENSG00000141682	PMAIP1
ENSG00000139910	NOVA1
ENSG00000134757	DSG3
ENSG00000258655	ARHGAP5-AS1
ENSG00000054793	ATP9A
ENSG00000139684	ESD
ENSG00000118271	TTR
ENSG00000291929	RPL3L
ENSG00000100220	RTCB
ENSG00000170558	CDH2
ENSG00000291938	TBL3
ENSG00000291941	SYNGR3
ENSG00000101955	SRPX
ENSG00000226179	LINC00685
ENSG00000197976	AKAP17A
ENSG00000101670	LIPG
ENSG00000291973	RPN2
ENSG00000196139	AKR1C3
ENSG00000292233	MROH8
ENSG00000133466	C1QTNF6
ENSG00000149970	CNKSR2
ENSG00000124216	SNAI1
ENSG00000100519	PSMC6
ENSG00000132965	ALOX5AP
ENSG00000067082	KLF6
ENSG00000101182	PSMA7
ENSG00000134146	DPH6
ENSG00000133106	EPSTI1
ENSG00000248905	FMN1
ENSG00000151468	CCDC3
ENSG00000151657	KIN
ENSG00000284290	ANKS4B
ENSG00000120158	RCL1
ENSG00000285443	ZYX
ENSG00000051180	RAD51
ENSG00000284816	EPHA1
ENSG00000101439	CST3
ENSG00000124225	PMEPA1
ENSG00000102760	RGCC
ENSG00000185053	SGCZ
ENSG00000101365	IDH3B
ENSG00000100612	DHRS7
ENSG00000164985	PSIP1
ENSG00000138613	APH1B
ENSG00000179388	EGR3
ENSG00000285327	XKR5
ENSG00000285365	DEFB135
ENSG00000159167	STC1
ENSG00000285132	CTSB
ENSG00000158470	B4GALT5
ENSG00000284967	FDFT1
ENSG00000157456	CCNB2
ENSG00000285369	BLK
ENSG00000284764	PINX1
ENSG00000150457	LATS2
ENSG00000292296	PINX1
ENSG00000285438	SOX7
ENSG00000285141	PRSS55
ENSG00000151849	CENPJ
ENSG00000285343	PPP1R3B
ENSG00000179242	CDH4
ENSG00000156687	UNC5D
ENSG00000180730	SHISA2
ENSG00000288673	DLC1
ENSG00000284881	DEFB1
ENSG00000100647	SUSD6
ENSG00000153714	LURAP1L
ENSG00000184274	LINC00315
ENSG00000237664	LINC00316
ENSG00000278709	NKILA
ENSG00000087510	TFAP2C
ENSG00000129521	EGLN3
ENSG00000165389	SPTSSA
ENSG00000275565	ALOX5
ENSG00000170345	FOS
ENSG00000274538	PHLDA2
ENSG00000119681	LTBP2
ENSG00000282343	KCNQ1-AS1
ENSG00000183741	CBX6
ENSG00000273707	CDKN1C
ENSG00000276130	SLC22A18
ENSG00000274454	SLC22A18AS
ENSG00000278855	KCNQ1DN
ENSG00000147459	DOCK5
ENSG00000244509	APOBEC3C
